mac;time;vlx
B8:D6:1A:60:95:30;2024/06/30 00:01:02;325.00
B8:D6:1A:60:95:30;2024/06/30 00:01:00;332.00
B8:D6:1A:60:95:30;2024/06/30 00:01:01;325.00
B8:D6:1A:60:95:30;2024/06/30 00:01:03;330.00
B8:D6:1A:60:95:30;2024/06/30 00:01:00;324.00
B8:D6:1A:60:95:30;2024/06/30 00:02:00;325.00
B8:D6:1A:60:95:30;2024/06/30 00:02:01;317.00
B8:D6:1A:60:95:30;2024/06/30 00:02:03;315.00
B8:D6:1A:60:95:30;2024/06/30 00:02:01;318.00
B8:D6:1A:60:95:30;2024/06/30 00:02:02;332.00
B8:D6:1A:60:95:30;2024/06/30 00:02:00;330.00
B8:D6:1A:60:95:30;2024/06/30 00:02:01;328.00
B8:D6:1A:60:95:30;2024/06/30 00:02:01;338.00
B8:D6:1A:60:95:30;2024/06/30 00:02:02;333.00
B8:D6:1A:60:95:30;2024/06/30 00:02:00;332.00
B8:D6:1A:60:95:30;2024/06/30 00:02:01;322.00
B8:D6:1A:60:95:30;2024/06/30 00:02:03;326.00
B8:D6:1A:60:95:30;2024/06/30 00:02:01;320.00
B8:D6:1A:60:95:30;2024/06/30 00:02:00;332.00
B8:D6:1A:60:95:30;2024/06/30 00:02:02;337.00
B8:D6:1A:60:95:30;2024/06/30 00:02:03;332.00
B8:D6:1A:60:95:30;2024/06/30 00:02:01;319.00
B8:D6:1A:60:95:30;2024/06/30 00:02:02;324.00
B8:D6:1A:60:95:30;2024/06/30 00:02:00;324.00
B8:D6:1A:60:95:30;2024/06/30 00:02:01;320.00
B8:D6:1A:60:95:30;2024/06/30 00:02:01;323.00
B8:D6:1A:60:95:30;2024/06/30 00:02:03;321.00
B8:D6:1A:60:95:30;2024/06/30 00:02:00;318.00
B8:D6:1A:60:95:30;2024/06/30 00:02:02;328.00
B8:D6:1A:60:95:30;2024/06/30 00:02:03;328.00
B8:D6:1A:60:95:30;2024/06/30 00:02:01;332.00
B8:D6:1A:60:95:30;2024/06/30 00:02:00;329.00
B8:D6:1A:60:95:30;2024/06/30 00:02:02;340.00
B8:D6:1A:60:95:30;2024/06/30 00:02:00;335.00
B8:D6:1A:60:95:30;2024/06/30 00:02:01;342.00
B8:D6:1A:60:95:30;2024/06/30 00:02:03;318.00
B8:D6:1A:60:95:30;2024/06/30 00:02:00;320.00
B8:D6:1A:60:95:30;2024/06/30 00:02:00;326.00
B8:D6:1A:60:95:30;2024/06/30 00:02:01;346.00
B8:D6:1A:60:95:30;2024/06/30 00:02:03;338.00
B8:D6:1A:60:95:30;2024/06/30 00:02:00;335.00
B8:D6:1A:60:95:30;2024/06/30 00:02:02;339.00
B8:D6:1A:60:95:30;2024/06/30 00:02:00;327.00
B8:D6:1A:60:95:30;2024/06/30 00:02:01;328.00
B8:D6:1A:60:95:30;2024/06/30 00:03:01;330.00
B8:D6:1A:60:95:30;2024/06/30 00:03:02;318.00
B8:D6:1A:60:95:30;2024/06/30 00:03:00;321.00
B8:D6:1A:60:95:30;2024/06/30 00:03:01;321.00
B8:D6:1A:60:95:30;2024/06/30 00:03:03;321.00
B8:D6:1A:60:95:30;2024/06/30 00:03:00;318.00
B8:D6:1A:60:95:30;2024/06/30 00:03:00;326.00
B8:D6:1A:60:95:30;2024/06/30 00:03:02;315.00
B8:D6:1A:60:95:30;2024/06/30 00:03:03;344.00
B8:D6:1A:60:95:30;2024/06/30 00:03:01;364.00
B8:D6:1A:60:95:30;2024/06/30 00:03:02;389.00
B8:D6:1A:60:95:30;2024/06/30 00:03:00;362.00
B8:D6:1A:60:95:30;2024/06/30 00:03:01;362.00
B8:D6:1A:60:95:30;2024/06/30 00:03:01;362.00
B8:D6:1A:60:95:30;2024/06/30 00:03:03;354.00
B8:D6:1A:60:95:30;2024/06/30 00:03:00;353.00
B8:D6:1A:60:95:30;2024/06/30 00:03:02;358.00
B8:D6:1A:60:95:30;2024/06/30 00:03:03;355.00
B8:D6:1A:60:95:30;2024/08/00 00:03:01;361.00
B8:D6:1A:60:95:30;2024/08/00 00:03:00;360.00
B8:D6:1A:60:95:30;2024/08/00 00:03:02;356.00
B8:D6:1A:60:95:30;2024/08/00 00:03:03;362.00
B8:D6:1A:60:95:30;2024/08/00 00:03:01;369.00
B8:D6:1A:60:95:30;2024/08/00 00:03:03;371.00
B8:D6:1A:60:95:30;2024/08/00 00:03:00;367.00
B8:D6:1A:60:95:30;2024/08/00 00:03:00;377.00
B8:D6:1A:60:95:30;2024/08/00 00:03:01;372.00
B8:D6:1A:60:95:30;2024/08/00 00:03:03;367.00
B8:D6:1A:60:95:30;2024/08/00 00:03:00;376.00
B8:D6:1A:60:95:30;2024/08/00 00:03:02;392.00
B8:D6:1A:60:95:30;2024/08/00 00:03:03;382.00
B8:D6:1A:60:95:30;2024/08/00 00:03:01;391.00
B8:D6:1A:60:95:30;2024/08/00 00:03:01;389.00
B8:D6:1A:60:95:30;2024/08/00 00:03:02;393.00
B8:D6:1A:60:95:30;2024/08/00 00:03:00;434.00
B8:D6:1A:60:95:30;2024/08/00 00:03:01;439.00
B8:D6:1A:60:95:30;2024/08/00 00:03:03;451.00
B8:D6:1A:60:95:30;2024/08/00 00:03:00;448.00
B8:D6:1A:60:95:30;2024/08/00 00:00:00;236.00
B8:D6:1A:60:95:30;2024/08/00 00:00:01;235.00
B8:D6:1A:60:95:30;2024/08/00 00:00:03;246.00
B8:D6:1A:60:95:30;2024/08/00 00:00:01;259.00
B8:D6:1A:60:95:30;2024/08/00 00:00:02;255.00
B8:D6:1A:60:95:30;2024/08/00 00:00:00;249.00
B8:D6:1A:60:95:30;2024/08/00 00:00:01;257.00
B8:D6:1A:60:95:30;2024/08/00 00:00:01;241.00
B8:D6:1A:60:95:30;2024/08/00 00:00:02;244.00
B8:D6:1A:60:95:30;2024/08/00 00:00:00;239.00
B8:D6:1A:60:95:30;2024/08/00 00:00:01;241.00
B8:D6:1A:60:95:30;2024/08/00 00:00:03;241.00
B8:D6:1A:60:95:30;2024/08/00 00:00:01;240.00
B8:D6:1A:60:95:30;2024/08/00 00:00:00;237.00
B8:D6:1A:60:95:30;2024/08/00 00:00:02;262.00
B8:D6:1A:60:95:30;2024/08/00 00:00:03;269.00
B8:D6:1A:60:95:30;2024/08/00 00:00:01;228.00
B8:D6:1A:60:95:30;2024/08/00 00:00:02;237.00
B8:D6:1A:60:95:30;2024/08/00 00:00:00;242.00
B8:D6:1A:60:95:30;2024/08/00 00:00:00;246.00
B8:D6:1A:60:95:30;2024/08/00 00:00:01;260.00
B8:D6:1A:60:95:30;2024/08/00 00:00:03;249.00
B8:D6:1A:60:95:30;2024/08/00 00:00:00;250.00
B8:D6:1A:60:95:30;2024/08/00 00:00:02;253.00
B8:D6:1A:60:95:30;2024/08/00 00:00:03;245.00
B8:D6:1A:60:95:30;2024/08/00 00:00:01;248.00
B8:D6:1A:60:95:30;2024/08/00 00:00:00;244.00
B8:D6:1A:60:95:30;2024/08/00 00:00:02;258.00
B8:D6:1A:60:95:30;2024/08/02 00:00:00;262.00
B8:D6:1A:60:95:30;2024/08/02 00:00:01;268.00
B8:D6:1A:60:95:30;2024/08/02 00:00:03;273.00
B8:D6:1A:60:95:30;2024/08/02 00:00:00;267.00
B8:D6:1A:60:95:30;2024/08/02 00:00:00;273.00
B8:D6:1A:60:95:30;2024/08/02 00:00:01;277.00
B8:D6:1A:60:95:30;2024/08/02 00:00:03;283.00
B8:D6:1A:60:95:30;2024/08/02 00:00:00;282.00
B8:D6:1A:60:95:30;2024/08/02 00:00:02;265.00
B8:D6:1A:60:95:30;2024/08/02 00:00:00;267.00
B8:D6:1A:60:95:30;2024/08/02 00:00:01;306.00
B8:D6:1A:60:95:30;2024/08/02 00:01:01;314.00
B8:D6:1A:60:95:30;2024/08/02 00:01:02;310.00
B8:D6:1A:60:95:30;2024/08/02 00:01:00;313.00
B8:D6:1A:60:95:30;2024/08/02 00:01:01;316.00
B8:D6:1A:60:95:30;2024/08/02 00:01:03;315.00
B8:D6:1A:60:95:30;2024/08/02 00:01:00;306.00
B8:D6:1A:60:95:30;2024/08/02 00:01:00;240.00
B8:D6:1A:60:95:30;2024/08/02 00:01:02;247.00
B8:D6:1A:60:95:30;2024/08/02 00:01:03;247.00
B8:D6:1A:60:95:30;2024/08/02 00:01:01;245.00
B8:D6:1A:60:95:30;2024/08/02 00:01:02;244.00
B8:D6:1A:60:95:30;2024/08/02 00:01:00;247.00
B8:D6:1A:60:95:30;2024/08/02 00:01:01;255.00
B8:D6:1A:60:95:30;2024/08/02 00:01:01;248.00
B8:D6:1A:60:95:30;2024/08/02 00:01:02;255.00
B8:D6:1A:60:95:30;2024/08/02 00:01:00;252.00
B8:D6:1A:60:95:30;2024/08/02 00:01:02;259.00
B8:D6:1A:60:95:30;2024/08/02 00:01:03;253.00
B8:D6:1A:60:95:30;2024/08/02 00:01:01;249.00
B8:D6:1A:60:95:30;2024/08/02 00:01:00;256.00
B8:D6:1A:60:95:30;2024/08/02 00:01:02;262.00
B8:D6:1A:60:95:30;2024/08/02 00:01:03;261.00
B8:D6:1A:60:95:30;2024/08/02 00:01:01;261.00
B8:D6:1A:60:95:30;2024/08/02 00:01:03;261.00
B8:D6:1A:60:95:30;2024/08/02 00:01:00;290.00
B8:D6:1A:60:95:30;2024/08/02 00:01:00;311.00
B8:D6:1A:60:95:30;2024/08/02 00:01:01;327.00
B8:D6:1A:60:95:30;2024/08/02 00:01:03;338.00
B8:D6:1A:60:95:30;2024/08/02 00:01:00;264.00
B8:D6:1A:60:95:30;2024/08/02 00:01:02;362.00
B8:D6:1A:60:95:30;2024/08/02 00:01:03;376.00
B8:D6:1A:60:95:30;2024/08/02 00:01:01;393.00
B8:D6:1A:60:95:30;2024/08/02 00:01:01;394.00
B8:D6:1A:60:95:30;2024/08/02 00:01:02;387.00
B8:D6:1A:60:95:30;2024/08/02 00:01:00;394.00
B8:D6:1A:60:95:30;2024/08/02 00:01:01;392.00
B8:D6:1A:60:95:30;2024/08/02 00:01:03;401.00
B8:D6:1A:60:95:30;2024/08/02 00:01:00;406.00
B8:D6:1A:60:95:30;2024/08/02 00:00:00;422.00
B8:D6:1A:60:95:30;2024/08/02 00:00:01;403.00
B8:D6:1A:60:95:30;2024/08/02 00:00:03;408.00
B8:D6:1A:60:95:30;2024/08/02 00:00:01;409.00
B8:D6:1A:60:95:30;2024/08/02 00:00:02;415.00
