mac;time;vlx
B8:D6:1A:60:95:30;2024/06/14 00:01:00;337.00
B8:D6:1A:60:95:30;2024/06/14 00:01:02;349.00
B8:D6:1A:60:95:30;2024/06/14 00:01:00;352.00
B8:D6:1A:60:95:30;2024/06/14 00:01:01;354.00
B8:D6:1A:60:95:30;2024/06/14 00:01:03;344.00
B8:D6:1A:60:95:30;2024/06/14 00:01:00;342.00
B8:D6:1A:60:95:30;2024/06/14 00:01:00;346.00
B8:D6:1A:60:95:30;2024/06/14 00:01:01;346.00
B8:D6:1A:60:95:30;2024/06/14 00:01:03;349.00
B8:D6:1A:60:95:30;2024/06/14 00:01:00;345.00
B8:D6:1A:60:95:30;2024/06/14 00:01:02;342.00
B8:D6:1A:60:95:30;2024/06/14 00:01:00;355.00
B8:D6:1A:60:95:30;2024/06/14 00:01:01;342.00
B8:D6:1A:60:95:30;2024/06/14 00:01:01;341.00
B8:D6:1A:60:95:30;2024/06/14 00:01:02;350.00
B8:D6:1A:60:95:30;2024/06/14 00:01:00;359.00
B8:D6:1A:60:95:30;2024/06/14 00:01:01;384.00
B8:D6:1A:60:95:30;2024/06/14 00:01:03;387.00
B8:D6:1A:60:95:30;2024/06/14 00:01:00;408.00
B8:D6:1A:60:95:30;2024/06/14 00:00:00;408.00
B8:D6:1A:60:95:30;2024/06/14 00:00:02;407.00
B8:D6:1A:60:95:30;2024/06/14 00:00:03;410.00
B8:D6:1A:60:95:30;2024/06/14 00:00:01;408.00
B8:D6:1A:60:95:30;2024/06/14 00:00:02;410.00
B8:D6:1A:60:95:30;2024/06/14 00:00:00;410.00
B8:D6:1A:60:95:30;2024/06/16 00:00:01;412.00
B8:D6:1A:60:95:30;2024/06/16 00:00:01;404.00
B8:D6:1A:60:95:30;2024/06/16 00:00:02;406.00
B8:D6:1A:60:95:30;2024/06/16 00:00:00;407.00
B8:D6:1A:60:95:30;2024/06/16 00:00:02;412.00
B8:D6:1A:60:95:30;2024/06/16 00:00:03;405.00
B8:D6:1A:60:95:30;2024/06/16 00:00:01;418.00
B8:D6:1A:60:95:30;2024/06/16 00:00:00;419.00
B8:D6:1A:60:95:30;2024/06/16 00:00:02;436.00
B8:D6:1A:60:95:30;2024/06/16 00:00:03;437.00
B8:D6:1A:60:95:30;2024/06/16 00:00:01;433.00
B8:D6:1A:60:95:30;2024/06/16 00:00:02;444.00
B8:D6:1A:60:95:30;2024/06/16 00:00:00;445.00
B8:D6:1A:60:95:30;2024/06/16 00:00:01;446.00
B8:D6:1A:60:95:30;2024/06/16 00:00:01;461.00
B8:D6:1A:60:95:30;2024/06/16 00:00:03;462.00
B8:D6:1A:60:95:30;2024/06/16 00:00:00;467.00
B8:D6:1A:60:95:30;2024/06/16 00:00:02;478.00
B8:D6:1A:60:95:30;2024/06/16 00:00:03;477.00
B8:D6:1A:60:95:30;2024/06/16 00:00:01;459.00
B8:D6:1A:60:95:30;2024/06/16 00:00:00;324.00
B8:D6:1A:60:95:30;2024/06/16 00:00:02;322.00
B8:D6:1A:60:95:30;2024/06/16 00:00:03;341.00
B8:D6:1A:60:95:30;2024/06/16 00:00:01;346.00
B8:D6:1A:60:95:30;2024/06/16 00:00:03;352.00
B8:D6:1A:60:95:30;2024/06/16 00:00:00;356.00
B8:D6:1A:60:95:30;2024/06/16 00:00:00;348.00
B8:D6:1A:60:95:30;2024/06/16 00:00:01;338.00
B8:D6:1A:60:95:30;2024/06/16 00:00:03;349.00
B8:D6:1A:60:95:30;2024/06/16 00:00:00;360.00
B8:D6:1A:60:95:30;2024/06/16 00:00:02;358.00
B8:D6:1A:60:95:30;2024/06/16 00:00:03;346.00
B8:D6:1A:60:95:30;2024/06/16 00:00:01;354.00
B8:D6:1A:60:95:30;2024/06/16 00:01:01;350.00
B8:D6:1A:60:95:30;2024/06/16 00:01:02;360.00
B8:D6:1A:60:95:30;2024/06/16 00:01:00;355.00
B8:D6:1A:60:95:30;2024/06/16 00:01:01;360.00
B8:D6:1A:60:95:30;2024/06/16 00:01:03;364.00
B8:D6:1A:60:95:30;2024/06/16 00:01:00;365.00
B8:D6:1A:60:95:30;2024/06/16 00:01:00;361.00
B8:D6:1A:60:95:30;2024/06/16 00:01:01;358.00
B8:D6:1A:60:95:30;2024/06/16 00:01:03;367.00
B8:D6:1A:60:95:30;2024/06/16 00:01:01;353.00
B8:D6:1A:60:95:30;2024/06/16 00:01:02;359.00
B8:D6:1A:60:95:30;2024/06/16 00:01:00;361.00
B8:D6:1A:60:95:30;2024/06/16 00:01:01;364.00
B8:D6:1A:60:95:30;2024/06/16 00:01:01;364.00
B8:D6:1A:60:95:30;2024/06/16 00:01:02;361.00
B8:D6:1A:60:95:30;2024/06/16 00:01:00;353.00
