mac;time;moisture;temperature
70:B8:F6:8F:F7:A0;2025/08/03 03:31:01;26.90;35.00
70:B8:F6:8F:F7:A0;2025/08/03 04:01:03;26.80;35.00
70:B8:F6:8F:F7:A0;2025/08/03 04:31:04;26.50;34.50
70:B8:F6:8F:F7:A0;2025/08/03 05:01:06;26.20;33.80
70:B8:F6:8F:F7:A0;2025/08/03 05:31:07;29.00;34.50
70:B8:F6:8F:F7:A0;2025/08/03 06:01:09;27.20;34.60
70:B8:F6:8F:F7:A0;2025/08/03 06:31:11;27.30;35.20
70:B8:F6:8F:F7:A0;2025/08/03 07:01:12;30.20;35.30
70:B8:F6:8F:F7:A0;2025/08/03 07:31:14;30.20;35.30
70:B8:F6:8F:F7:A0;2025/08/03 08:01:15;32.50;35.50
70:B8:F6:8F:F7:A0;2025/08/03 08:31:17;33.20;35.40
70:B8:F6:8F:F7:A0;2025/08/03 09:01:18;34.90;35.60
70:B8:F6:8F:F7:A0;2025/08/03 09:31:20;34.40;35.70
70:B8:F6:8F:F7:A0;2025/08/03 10:01:21;34.20;35.90
70:B8:F6:8F:F7:A0;2025/08/03 10:31:23;30.50;35.80
70:B8:F6:8F:F7:A0;2025/08/03 11:01:25;30.00;36.20
70:B8:F6:8F:F7:A0;2025/08/03 11:31:26;24.80;36.30
70:B8:F6:8F:F7:A0;2025/08/03 12:01:28;23.50;36.40
70:B8:F6:8F:F7:A0;2025/08/03 12:31:29;24.40;37.00
70:B8:F6:8F:F7:A0;2025/08/03 13:01:31;21.00;37.70
70:B8:F6:8F:F7:A0;2025/08/03 13:31:32;20.20;38.30
70:B8:F6:8F:F7:A0;2025/08/03 14:01:34;16.80;38.80
70:B8:F6:8F:F7:A0;2025/08/03 14:31:35;16.00;39.30
70:B8:F6:8F:F7:A0;2025/08/03 15:01:37;14.80;40.00
70:B8:F6:8F:F7:A0;2025/08/03 15:31:38;13.60;40.00
70:B8:F6:8F:F7:A0;2025/08/03 16:01:40;14.80;40.20
70:B8:F6:8F:F7:A0;2025/08/03 16:31:42;14.00;40.10
