mac;time;moisture;temperature
70:B8:F6:8F:F7:A0;2025/07/15 11:41:57;45.40;28.00
70:B8:F6:8F:F7:A0;2025/07/15 12:11:59;46.50;27.90
70:B8:F6:8F:F7:A0;2025/07/15 12:42:01;31.10;34.70
70:B8:F6:8F:F7:A0;2025/07/15 13:12:02;26.30;35.80
70:B8:F6:8F:F7:A0;2025/07/15 13:42:04;26.30;36.10
70:B8:F6:8F:F7:A0;2025/07/15 14:12:05;22.50;36.50
70:B8:F6:8F:F7:A0;2025/07/15 14:42:07;22.90;37.10
70:B8:F6:8F:F7:A0;2025/07/15 15:12:08;19.00;37.50
70:B8:F6:8F:F7:A0;2025/07/15 15:42:10;17.00;37.80
70:B8:F6:8F:F7:A0;2025/07/15 16:12:11;17.70;38.40
70:B8:F6:8F:F7:A0;2025/07/15 16:42:13;16.20;38.70
70:B8:F6:8F:F7:A0;2025/07/15 17:12:15;16.30;39.30
70:B8:F6:8F:F7:A0;2025/07/15 17:42:16;16.00;39.60
70:B8:F6:8F:F7:A0;2025/07/15 18:12:18;18.80;40.10
70:B8:F6:8F:F7:A0;2025/07/15 18:42:19;16.50;40.40
70:B8:F6:8F:F7:A0;2025/07/15 19:12:21;14.80;40.70
70:B8:F6:8F:F7:A0;2025/07/15 19:42:22;14.70;40.70
70:B8:F6:8F:F7:A0;2025/07/15 20:12:24;15.20;40.80
70:B8:F6:8F:F7:A0;2025/07/15 20:42:25;14.10;40.80
70:B8:F6:8F:F7:A0;2025/07/15 21:12:27;15.40;40.60
70:B8:F6:8F:F7:A0;2025/07/15 21:42:28;19.50;40.40
70:B8:F6:8F:F7:A0;2025/07/15 22:12:30;23.70;40.80
70:B8:F6:8F:F7:A0;2025/07/15 22:42:32;23.80;40.10
70:B8:F6:8F:F7:A0;2025/07/15 23:12:33;23.40;38.30
70:B8:F6:8F:F7:A0;2025/07/15 23:42:35;23.90;37.40
70:B8:F6:8F:F7:A0;2025/07/16 00:12:36;23.90;36.70
70:B8:F6:8F:F7:A0;2025/07/16 00:42:38;26.20;36.60
70:B8:F6:8F:F7:A0;2025/07/16 01:12:39;26.20;35.90
70:B8:F6:8F:F7:A0;2025/07/16 01:42:41;27.00;35.70
70:B8:F6:8F:F7:A0;2025/07/16 02:12:42;27.90;35.30
70:B8:F6:8F:F7:A0;2025/07/16 02:42:44;28.60;35.30
70:B8:F6:8F:F7:A0;2025/07/16 03:12:46;28.10;35.40
70:B8:F6:8F:F7:A0;2025/07/16 03:42:47;28.30;34.90
70:B8:F6:8F:F7:A0;2025/07/16 04:12:49;28.70;34.70
70:B8:F6:8F:F7:A0;2025/07/16 04:42:50;30.10;34.90
70:B8:F6:8F:F7:A0;2025/07/16 05:12:52;29.70;35.30
70:B8:F6:8F:F7:A0;2025/07/16 05:42:53;29.70;35.30
70:B8:F6:8F:F7:A0;2025/07/16 06:12:55;30.00;35.10
70:B8:F6:8F:F7:A0;2025/07/16 06:42:56;29.40;35.00
70:B8:F6:8F:F7:A0;2025/07/16 07:12:58;30.30;35.10
70:B8:F6:8F:F7:A0;2025/07/16 07:42:59;31.30;34.60
70:B8:F6:8F:F7:A0;2025/07/16 08:13:01;31.90;34.10
