mac;time;moisture;temperature
70:B8:F6:8F:F7:A0;2025/07/30 17:20:35;20.70;32.70
70:B8:F6:8F:F7:A0;2025/07/30 17:50:36;19.80;32.60
70:B8:F6:8F:F7:A0;2025/07/30 18:20:38;16.30;38.50
70:B8:F6:8F:F7:A0;2025/07/30 18:50:39;16.50;38.90
70:B8:F6:8F:F7:A0;2025/07/30 19:20:41;23.50;39.70
70:B8:F6:8F:F7:A0;2025/07/30 19:50:42;14.10;39.70
70:B8:F6:8F:F7:A0;2025/07/30 20:20:44;12.90;39.30
70:B8:F6:8F:F7:A0;2025/07/30 20:50:46;12.70;39.20
70:B8:F6:8F:F7:A0;2025/07/30 21:20:47;15.20;39.10
70:B8:F6:8F:F7:A0;2025/07/30 21:50:49;14.90;38.10
70:B8:F6:8F:F7:A0;2025/07/30 22:20:50;18.70;36.00
70:B8:F6:8F:F7:A0;2025/07/30 22:50:52;20.60;36.30
70:B8:F6:8F:F7:A0;2025/07/30 23:20:53;22.20;35.60
70:B8:F6:8F:F7:A0;2025/07/30 23:50:55;25.80;35.50
70:B8:F6:8F:F7:A0;2025/07/31 00:20:56;26.60;35.70
70:B8:F6:8F:F7:A0;2025/07/31 00:50:58;27.80;36.20
70:B8:F6:8F:F7:A0;2025/07/31 01:20:59;27.80;36.70
70:B8:F6:8F:F7:A0;2025/07/31 01:51:01;28.60;36.10
70:B8:F6:8F:F7:A0;2025/07/31 02:21:03;29.30;35.30
70:B8:F6:8F:F7:A0;2025/07/31 02:51:04;30.50;35.30
70:B8:F6:8F:F7:A0;2025/07/31 03:21:06;31.30;35.20
70:B8:F6:8F:F7:A0;2025/07/31 03:51:07;30.40;35.10
70:B8:F6:8F:F7:A0;2025/07/31 04:21:09;31.80;35.60
70:B8:F6:8F:F7:A0;2025/07/31 04:51:10;30.90;35.70
70:B8:F6:8F:F7:A0;2025/07/31 05:21:12;31.80;35.50
70:B8:F6:8F:F7:A0;2025/07/31 05:51:13;32.10;35.10
70:B8:F6:8F:F7:A0;2025/07/31 06:21:15;32.90;35.20
70:B8:F6:8F:F7:A0;2025/07/31 06:51:17;32.70;35.20
70:B8:F6:8F:F7:A0;2025/07/31 07:21:18;32.80;35.20
70:B8:F6:8F:F7:A0;2025/07/31 07:51:20;33.50;34.90
70:B8:F6:8F:F7:A0;2025/07/31 08:21:21;36.50;35.00
70:B8:F6:8F:F7:A0;2025/07/31 08:51:23;35.20;35.00
70:B8:F6:8F:F7:A0;2025/07/31 09:21:24;33.90;34.90
70:B8:F6:8F:F7:A0;2025/07/31 09:51:26;34.20;34.60
70:B8:F6:8F:F7:A0;2025/07/31 10:21:27;33.70;35.30
70:B8:F6:8F:F7:A0;2025/07/31 10:51:29;33.60;35.10
70:B8:F6:8F:F7:A0;2025/07/31 11:21:30;33.50;35.40
70:B8:F6:8F:F7:A0;2025/07/31 11:51:32;32.20;35.30
70:B8:F6:8F:F7:A0;2025/07/31 12:21:34;30.00;35.70
70:B8:F6:8F:F7:A0;2025/07/31 12:51:35;25.90;35.50
70:B8:F6:8F:F7:A0;2025/07/31 13:21:37;21.70;36.30
70:B8:F6:8F:F7:A0;2025/07/31 13:51:38;21.60;36.90
70:B8:F6:8F:F7:A0;2025/07/31 14:21:40;18.60;37.10
70:B8:F6:8F:F7:A0;2025/07/31 14:51:41;18.20;37.80
70:B8:F6:8F:F7:A0;2025/07/31 15:21:43;17.60;37.80
70:B8:F6:8F:F7:A0;2025/07/31 15:51:44;15.20;38.50
70:B8:F6:8F:F7:A0;2025/07/31 16:21:46;16.30;38.40
70:B8:F6:8F:F7:A0;2025/07/31 16:51:47;14.40;38.70
70:B8:F6:8F:F7:A0;2025/07/31 17:21:49;15.20;39.30
70:B8:F6:8F:F7:A0;2025/07/31 17:51:50;14.90;39.60
70:B8:F6:8F:F7:A0;2025/07/31 18:21:52;15.00;39.60
70:B8:F6:8F:F7:A0;2025/07/31 18:51:53;14.50;40.40
70:B8:F6:8F:F7:A0;2025/07/31 19:21:55;13.30;40.30
70:B8:F6:8F:F7:A0;2025/07/31 19:51:56;14.80;39.90
70:B8:F6:8F:F7:A0;2025/07/31 20:21:58;14.20;39.70
70:B8:F6:8F:F7:A0;2025/07/31 20:51:59;15.30;38.90
70:B8:F6:8F:F7:A0;2025/07/31 21:22:01;17.50;38.00
70:B8:F6:8F:F7:A0;2025/07/31 21:52:02;19.40;38.30
70:B8:F6:8F:F7:A0;2025/07/31 22:22:04;18.10;37.20
70:B8:F6:8F:F7:A0;2025/07/31 22:52:06;20.00;35.20
70:B8:F6:8F:F7:A0;2025/07/31 23:22:07;22.30;34.80
70:B8:F6:8F:F7:A0;2025/07/31 23:52:09;23.40;36.60
70:B8:F6:8F:F7:A0;2025/08/01 00:22:10;22.50;36.30
70:B8:F6:8F:F7:A0;2025/08/01 00:52:12;24.10;36.00
70:B8:F6:8F:F7:A0;2025/08/01 01:22:13;25.40;36.00
70:B8:F6:8F:F7:A0;2025/08/01 01:52:15;26.10;36.30
70:B8:F6:8F:F7:A0;2025/08/01 02:22:16;25.40;36.00
70:B8:F6:8F:F7:A0;2025/08/01 02:52:18;26.60;35.30
70:B8:F6:8F:F7:A0;2025/08/01 03:22:19;27.40;35.30
70:B8:F6:8F:F7:A0;2025/08/01 03:52:21;26.80;35.10
