mac;time;vlx
B8:D6:1A:60:94:1C;2025/07/30 17:23:34;305.00
B8:D6:1A:60:94:1C;2025/07/30 17:53:36;306.00
B8:D6:1A:60:94:1C;2025/07/30 18:23:37;322.00
B8:D6:1A:60:94:1C;2025/07/30 18:53:39;315.00
B8:D6:1A:60:94:1C;2025/07/30 19:23:40;311.00
B8:D6:1A:60:94:1C;2025/07/30 19:53:42;314.00
B8:D6:1A:60:94:1C;2025/07/30 20:23:44;307.00
B8:D6:1A:60:94:1C;2025/07/30 20:53:45;307.00
B8:D6:1A:60:94:1C;2025/07/30 21:23:47;312.00
B8:D6:1A:60:94:1C;2025/07/30 21:53:48;311.00
B8:D6:1A:60:94:1C;2025/07/30 22:23:50;309.00
B8:D6:1A:60:94:1C;2025/07/30 22:53:51;312.00
B8:D6:1A:60:94:1C;2025/07/30 23:23:53;310.00
B8:D6:1A:60:94:1C;2025/07/30 23:53:54;316.00
B8:D6:1A:60:94:1C;2025/07/31 00:23:56;315.00
B8:D6:1A:60:94:1C;2025/07/31 00:53:57;318.00
B8:D6:1A:60:94:1C;2025/07/31 01:23:59;320.00
B8:D6:1A:60:94:1C;2025/07/31 01:54:01;325.00
B8:D6:1A:60:94:1C;2025/07/31 02:24:02;315.00
B8:D6:1A:60:94:1C;2025/07/31 02:54:04;320.00
B8:D6:1A:60:94:1C;2025/07/31 03:24:05;315.00
B8:D6:1A:60:94:1C;2025/07/31 03:54:07;316.00
B8:D6:1A:60:94:1C;2025/07/31 04:24:08;318.00
B8:D6:1A:60:94:1C;2025/07/31 04:54:10;316.00
B8:D6:1A:60:94:1C;2025/07/31 05:24:11;318.00
B8:D6:1A:60:94:1C;2025/07/31 05:54:13;313.00
B8:D6:1A:60:94:1C;2025/07/31 06:24:15;316.00
B8:D6:1A:60:94:1C;2025/07/31 06:54:16;325.00
B8:D6:1A:60:94:1C;2025/07/31 07:24:18;315.00
B8:D6:1A:60:94:1C;2025/07/31 07:54:19;308.00
B8:D6:1A:60:94:1C;2025/07/31 08:24:21;308.00
B8:D6:1A:60:94:1C;2025/07/31 08:54:22;306.00
B8:D6:1A:60:94:1C;2025/07/31 09:24:24;298.00
B8:D6:1A:60:94:1C;2025/07/31 09:54:25;312.00
B8:D6:1A:60:94:1C;2025/07/31 10:24:27;312.00
B8:D6:1A:60:94:1C;2025/07/31 10:54:28;309.00
B8:D6:1A:60:94:1C;2025/07/31 11:24:30;313.00
B8:D6:1A:60:94:1C;2025/07/31 11:54:32;332.00
B8:D6:1A:60:94:1C;2025/07/31 12:24:33;327.00
B8:D6:1A:60:94:1C;2025/07/31 12:54:35;331.00
B8:D6:1A:60:94:1C;2025/07/31 13:24:36;328.00
B8:D6:1A:60:94:1C;2025/07/31 13:54:38;332.00
B8:D6:1A:60:94:1C;2025/07/31 14:24:39;329.00
B8:D6:1A:60:94:1C;2025/07/31 14:54:41;332.00
B8:D6:1A:60:94:1C;2025/07/31 15:24:42;329.00
B8:D6:1A:60:94:1C;2025/07/31 15:54:44;291.00
