mac;time;vlx
B8:D6:1A:60:94:1C;2025/07/15 11:17:12;328.00
B8:D6:1A:60:94:1C;2025/07/15 11:47:13;330.00
B8:D6:1A:60:94:1C;2025/07/15 12:17:15;333.00
B8:D6:1A:60:94:1C;2025/07/15 12:47:17;339.00
B8:D6:1A:60:94:1C;2025/07/15 13:17:18;338.00
B8:D6:1A:60:94:1C;2025/07/15 13:47:20;342.00
B8:D6:1A:60:94:1C;2025/07/15 14:17:21;335.00
B8:D6:1A:60:94:1C;2025/07/15 14:47:23;335.00
B8:D6:1A:60:94:1C;2025/07/15 15:17:24;334.00
B8:D6:1A:60:94:1C;2025/07/15 15:47:26;331.00
B8:D6:1A:60:94:1C;2025/07/15 16:17:27;335.00
B8:D6:1A:60:94:1C;2025/07/15 16:47:29;339.00
B8:D6:1A:60:94:1C;2025/07/15 17:17:30;325.00
B8:D6:1A:60:94:1C;2025/07/15 17:47:32;323.00
B8:D6:1A:60:94:1C;2025/07/15 18:17:34;336.00
B8:D6:1A:60:94:1C;2025/07/15 18:47:35;342.00
B8:D6:1A:60:94:1C;2025/07/15 19:17:37;348.00
B8:D6:1A:60:94:1C;2025/07/15 19:47:38;363.00
B8:D6:1A:60:94:1C;2025/07/15 20:17:40;358.00
B8:D6:1A:60:94:1C;2025/07/15 20:47:41;362.00
B8:D6:1A:60:94:1C;2025/07/15 21:17:43;370.00
B8:D6:1A:60:94:1C;2025/07/15 21:47:44;370.00
B8:D6:1A:60:94:1C;2025/07/15 22:17:46;366.00
B8:D6:1A:60:94:1C;2025/07/15 22:47:48;378.00
B8:D6:1A:60:94:1C;2025/07/15 23:17:49;377.00
B8:D6:1A:60:94:1C;2025/07/15 23:47:51;392.00
B8:D6:1A:60:94:1C;2025/07/16 00:17:52;392.00
B8:D6:1A:60:94:1C;2025/07/16 00:47:54;390.00
B8:D6:1A:60:94:1C;2025/07/16 01:17:55;398.00
B8:D6:1A:60:94:1C;2025/07/16 01:47:57;394.00
B8:D6:1A:60:94:1C;2025/07/16 02:17:58;400.00
B8:D6:1A:60:94:1C;2025/07/16 02:48:00;394.00
B8:D6:1A:60:94:1C;2025/07/16 03:18:01;400.00
B8:D6:1A:60:94:1C;2025/07/16 03:48:03;401.00
B8:D6:1A:60:94:1C;2025/07/16 04:18:05;402.00
B8:D6:1A:60:94:1C;2025/07/16 04:48:06;409.00
B8:D6:1A:60:94:1C;2025/07/16 05:18:08;405.00
B8:D6:1A:60:94:1C;2025/07/16 05:48:09;409.00
B8:D6:1A:60:94:1C;2025/07/16 06:18:11;411.00
B8:D6:1A:60:94:1C;2025/07/16 06:48:12;411.00
B8:D6:1A:60:94:1C;2025/07/16 07:18:14;418.00
B8:D6:1A:60:94:1C;2025/07/16 07:48:15;428.00
B8:D6:1A:60:94:1C;2025/07/16 08:18:17;439.00
B8:D6:1A:60:94:1C;2025/07/16 08:48:19;443.00
B8:D6:1A:60:94:1C;2025/07/16 09:18:20;457.00
B8:D6:1A:60:94:1C;2025/07/16 09:48:22;423.00
B8:D6:1A:60:94:1C;2025/07/16 10:18:23;391.00
B8:D6:1A:60:94:1C;2025/07/16 10:48:25;301.00
B8:D6:1A:60:94:1C;2025/07/16 11:18:26;311.00
B8:D6:1A:60:94:1C;2025/07/16 11:48:28;322.00
B8:D6:1A:60:94:1C;2025/07/16 12:18:29;321.00
B8:D6:1A:60:94:1C;2025/07/16 12:48:31;325.00
B8:D6:1A:60:94:1C;2025/07/16 13:18:32;325.00
B8:D6:1A:60:94:1C;2025/07/16 13:48:34;327.00
B8:D6:1A:60:94:1C;2025/07/16 14:18:36;329.00
B8:D6:1A:60:94:1C;2025/07/16 14:48:37;334.00
B8:D6:1A:60:94:1C;2025/07/16 15:18:39;327.00
B8:D6:1A:60:94:1C;2025/07/16 15:48:40;326.00
B8:D6:1A:60:94:1C;2025/07/16 16:18:42;329.00
B8:D6:1A:60:94:1C;2025/07/16 16:48:43;331.00
B8:D6:1A:60:94:1C;2025/07/16 17:18:45;343.00
B8:D6:1A:60:94:1C;2025/07/16 17:48:46;341.00
B8:D6:1A:60:94:1C;2025/07/16 18:18:48;341.00
B8:D6:1A:60:94:1C;2025/07/16 18:48:49;337.00
B8:D6:1A:60:94:1C;2025/07/16 19:18:51;332.00
B8:D6:1A:60:94:1C;2025/07/16 19:48:53;348.00
B8:D6:1A:60:94:1C;2025/07/16 20:18:54;350.00
B8:D6:1A:60:94:1C;2025/07/16 20:48:56;357.00
B8:D6:1A:60:94:1C;2025/07/16 21:18:57;354.00
B8:D6:1A:60:94:1C;2025/07/16 21:48:59;358.00
B8:D6:1A:60:94:1C;2025/07/16 22:19:00;361.00
B8:D6:1A:60:94:1C;2025/07/16 22:49:02;358.00
B8:D6:1A:60:94:1C;2025/07/16 23:19:03;360.00
B8:D6:1A:60:94:1C;2025/07/16 23:49:05;359.00
B8:D6:1A:60:94:1C;2025/07/17 00:19:07;358.00
B8:D6:1A:60:94:1C;2025/07/17 00:49:08;360.00
B8:D6:1A:60:94:1C;2025/07/17 01:19:10;364.00
B8:D6:1A:60:94:1C;2025/07/17 01:49:11;360.00
B8:D6:1A:60:94:1C;2025/07/17 02:19:13;359.00
B8:D6:1A:60:94:1C;2025/07/17 02:49:14;365.00
B8:D6:1A:60:94:1C;2025/07/17 03:19:16;361.00
B8:D6:1A:60:94:1C;2025/07/17 03:49:17;355.00
B8:D6:1A:60:94:1C;2025/07/17 04:19:19;363.00
B8:D6:1A:60:94:1C;2025/07/17 04:49:20;358.00
B8:D6:1A:60:94:1C;2025/07/17 05:19:22;375.00
B8:D6:1A:60:94:1C;2025/07/17 05:49:24;379.00
B8:D6:1A:60:94:1C;2025/07/17 06:19:25;374.00
B8:D6:1A:60:94:1C;2025/07/17 06:49:27;241.00
B8:D6:1A:60:94:1C;2025/07/17 07:19:28;394.00
B8:D6:1A:60:94:1C;2025/07/17 07:49:30;398.00
B8:D6:1A:60:94:1C;2025/07/17 08:19:31;408.00
B8:D6:1A:60:94:1C;2025/07/17 08:49:33;431.00
B8:D6:1A:60:94:1C;2025/07/17 09:19:34;423.00
B8:D6:1A:60:94:1C;2025/07/17 09:49:36;427.00
