mac;time;vlx
B8:D6:1A:60:94:1C;2025/08/03 03:34:00;368.00
B8:D6:1A:60:94:1C;2025/08/03 04:04:02;368.00
B8:D6:1A:60:94:1C;2025/08/03 04:34:03;365.00
B8:D6:1A:60:94:1C;2025/08/03 05:04:05;372.00
B8:D6:1A:60:94:1C;2025/08/03 05:34:06;365.00
B8:D6:1A:60:94:1C;2025/08/03 06:04:08;372.00
B8:D6:1A:60:94:1C;2025/08/03 06:34:09;382.00
B8:D6:1A:60:94:1C;2025/08/03 07:04:11;382.00
B8:D6:1A:60:94:1C;2025/08/03 07:34:12;385.00
B8:D6:1A:60:94:1C;2025/08/03 08:04:14;422.00
B8:D6:1A:60:94:1C;2025/08/03 08:34:16;425.00
B8:D6:1A:60:94:1C;2025/08/03 09:04:17;429.00
B8:D6:1A:60:94:1C;2025/08/03 09:34:19;459.00
B8:D6:1A:60:94:1C;2025/08/03 10:04:20;471.00
B8:D6:1A:60:94:1C;2025/08/03 10:34:22;463.00
B8:D6:1A:60:94:1C;2025/08/03 11:04:23;480.00
B8:D6:1A:60:94:1C;2025/08/03 11:34:25;449.00
B8:D6:1A:60:94:1C;2025/08/03 12:04:26;463.00
B8:D6:1A:60:94:1C;2025/08/03 12:34:28;158.00
B8:D6:1A:60:94:1C;2025/08/03 13:04:29;185.00
B8:D6:1A:60:94:1C;2025/08/03 13:34:31;182.00
B8:D6:1A:60:94:1C;2025/08/03 14:04:33;184.00
B8:D6:1A:60:94:1C;2025/08/03 14:34:34;173.00
B8:D6:1A:60:94:1C;2025/08/03 15:04:36;167.00
B8:D6:1A:60:94:1C;2025/08/03 15:34:37;167.00
B8:D6:1A:60:94:1C;2025/08/03 16:04:39;166.00
B8:D6:1A:60:94:1C;2025/08/03 16:34:40;165.00
B8:D6:1A:60:94:1C;2025/08/03 17:04:42;175.00
B8:D6:1A:60:94:1C;2025/08/03 17:34:43;168.00
B8:D6:1A:60:94:1C;2025/08/03 18:04:45;168.00
B8:D6:1A:60:94:1C;2025/08/03 18:34:47;214.00
B8:D6:1A:60:94:1C;2025/08/03 19:04:48;231.00
B8:D6:1A:60:94:1C;2025/08/03 19:34:50;237.00
B8:D6:1A:60:94:1C;2025/08/03 20:04:51;233.00
B8:D6:1A:60:94:1C;2025/08/03 20:34:53;241.00
B8:D6:1A:60:94:1C;2025/08/03 21:04:54;243.00
B8:D6:1A:60:94:1C;2025/08/03 21:34:56;247.00
B8:D6:1A:60:94:1C;2025/08/03 22:04:57;249.00
B8:D6:1A:60:94:1C;2025/08/03 22:34:59;249.00
B8:D6:1A:60:94:1C;2025/08/03 23:05:00;248.00
B8:D6:1A:60:94:1C;2025/08/03 23:35:02;248.00
B8:D6:1A:60:94:1C;2025/08/04 00:05:04;256.00
B8:D6:1A:60:94:1C;2025/08/04 00:35:05;264.00
B8:D6:1A:60:94:1C;2025/08/04 01:05:07;265.00
B8:D6:1A:60:94:1C;2025/08/04 01:35:08;263.00
B8:D6:1A:60:94:1C;2025/08/04 02:05:10;263.00
B8:D6:1A:60:94:1C;2025/08/04 02:35:11;316.00
B8:D6:1A:60:94:1C;2025/08/04 03:05:13;319.00
B8:D6:1A:60:94:1C;2025/08/04 03:35:14;316.00
B8:D6:1A:60:94:1C;2025/08/04 04:05:16;310.00
B8:D6:1A:60:94:1C;2025/08/04 04:35:18;314.00
B8:D6:1A:60:94:1C;2025/08/04 05:05:19;307.00
B8:D6:1A:60:94:1C;2025/08/04 05:35:21;312.00
B8:D6:1A:60:94:1C;2025/08/04 06:05:22;309.00
B8:D6:1A:60:94:1C;2025/08/04 06:35:24;314.00
B8:D6:1A:60:94:1C;2025/08/04 07:05:25;315.00
B8:D6:1A:60:94:1C;2025/08/04 07:35:27;321.00
B8:D6:1A:60:94:1C;2025/08/04 08:05:28;334.00
B8:D6:1A:60:94:1C;2025/08/04 08:35:30;347.00
B8:D6:1A:60:94:1C;2025/08/04 09:05:32;354.00
B8:D6:1A:60:94:1C;2025/08/04 09:35:33;356.00
B8:D6:1A:60:94:1C;2025/08/04 10:05:35;392.00
B8:D6:1A:60:94:1C;2025/08/04 10:35:36;398.00
B8:D6:1A:60:94:1C;2025/08/04 11:05:38;364.00
B8:D6:1A:60:94:1C;2025/08/04 11:35:39;369.00
B8:D6:1A:60:94:1C;2025/08/04 12:05:41;399.00
B8:D6:1A:60:94:1C;2025/08/04 12:35:42;411.00
B8:D6:1A:60:94:1C;2025/08/04 13:05:44;161.00
B8:D6:1A:60:94:1C;2025/08/04 13:35:45;158.00
B8:D6:1A:60:94:1C;2025/08/04 14:05:47;157.00
B8:D6:1A:60:94:1C;2025/08/04 14:35:49;157.00
B8:D6:1A:60:94:1C;2025/08/04 15:05:50;158.00
B8:D6:1A:60:94:1C;2025/08/04 15:35:52;158.00
B8:D6:1A:60:94:1C;2025/08/04 16:05:53;155.00
B8:D6:1A:60:94:1C;2025/08/04 16:35:55;151.00
B8:D6:1A:60:94:1C;2025/08/04 17:05:56;152.00
B8:D6:1A:60:94:1C;2025/08/04 17:35:58;163.00
B8:D6:1A:60:94:1C;2025/08/04 18:05:59;180.00
B8:D6:1A:60:94:1C;2025/08/04 18:36:01;172.00
B8:D6:1A:60:94:1C;2025/08/04 19:06:03;170.00
B8:D6:1A:60:94:1C;2025/08/04 19:36:04;177.00
B8:D6:1A:60:94:1C;2025/08/04 20:06:06;182.00
B8:D6:1A:60:94:1C;2025/08/04 20:36:07;165.00
B8:D6:1A:60:94:1C;2025/08/04 21:06:09;169.00
B8:D6:1A:60:94:1C;2025/08/04 21:36:10;173.00
B8:D6:1A:60:94:1C;2025/08/04 22:06:12;172.00
B8:D6:1A:60:94:1C;2025/08/04 22:36:13;170.00
B8:D6:1A:60:94:1C;2025/08/04 23:06:15;169.00
B8:D6:1A:60:94:1C;2025/08/04 23:36:16;166.00
B8:D6:1A:60:94:1C;2025/08/05 00:06:18;169.00
B8:D6:1A:60:94:1C;2025/08/05 00:36:20;170.00
B8:D6:1A:60:94:1C;2025/08/05 01:06:21;172.00
B8:D6:1A:60:94:1C;2025/08/05 01:36:23;168.00
B8:D6:1A:60:94:1C;2025/08/05 02:06:24;169.00
B8:D6:1A:60:94:1C;2025/08/05 02:36:26;181.00
B8:D6:1A:60:94:1C;2025/08/05 03:06:27;186.00
B8:D6:1A:60:94:1C;2025/08/05 03:36:29;186.00
B8:D6:1A:60:94:1C;2025/08/05 04:06:30;187.00
B8:D6:1A:60:94:1C;2025/08/05 04:36:32;186.00
B8:D6:1A:60:94:1C;2025/08/05 05:06:34;186.00
B8:D6:1A:60:94:1C;2025/08/05 05:36:35;186.00
B8:D6:1A:60:94:1C;2025/08/05 06:06:37;197.00
B8:D6:1A:60:94:1C;2025/08/05 06:36:38;199.00
B8:D6:1A:60:94:1C;2025/08/05 07:06:40;226.00
B8:D6:1A:60:94:1C;2025/08/05 07:36:41;233.00
B8:D6:1A:60:94:1C;2025/08/05 08:06:43;244.00
B8:D6:1A:60:94:1C;2025/08/05 08:36:44;259.00
B8:D6:1A:60:94:1C;2025/08/05 09:06:46;158.00
B8:D6:1A:60:94:1C;2025/08/05 09:36:47;162.00
B8:D6:1A:60:94:1C;2025/08/05 10:06:49;161.00
