time,n_points,vlx_mm_med,vlx_mm_mean,vlx_mm_std,net_diff_mm,max_drop_mm,max_rise_mm,net_delta_kg
2025-07-15 00:00:00+02:00,25,339.0,349.4782608695652,19.256332052358008,,-10.0,14.0,0.0
2025-07-16 00:00:00+02:00,48,358.5,369.1041666666667,39.43334779649978,-33.0,-80.0,11.0,0.0
2025-07-17 00:00:00+02:00,48,346.5,355.6666666666667,31.012923410083673,-13.0,-78.0,20.0,0.0
2025-07-18 00:00:00+02:00,48,341.0,347.7291666666667,34.02986146946835,-20.0,-65.0,23.0,0.0
2025-07-19 00:00:00+02:00,48,336.5,341.1041666666667,23.173021348967776,32.0,-100.0,23.0,0.0
2025-07-20 00:00:00+02:00,48,338.0,351.625,28.23354350278056,-25.0,-84.0,13.0,0.0
2025-07-21 00:00:00+02:00,48,327.0,322.5625,49.20426648600228,-9.0,-95.0,31.0,0.0
2025-07-22 00:00:00+02:00,48,247.0,252.10416666666666,80.54131742190926,-79.0,-221.0,33.0,0.0
2025-07-23 00:00:00+02:00,48,316.0,304.6041666666667,24.769352703155842,69.0,-7.0,35.0,0.0
2025-07-24 00:00:00+02:00,48,319.5,334.8541666666667,29.560604594149126,3.0,-115.0,33.0,0.0
2025-07-25 00:00:00+02:00,47,315.0,332.36170212765956,36.936741182915576,0.0,-125.0,35.0,0.0
2025-07-26 00:00:00+02:00,48,320.0,331.1458333333333,34.326337251125615,-1.0,-99.0,32.0,0.0
2025-07-27 00:00:00+02:00,48,317.0,316.1041666666667,8.288006159462652,-1.0,-25.0,26.0,0.0
2025-07-28 00:00:00+02:00,48,317.0,317.5625,17.736734629552,45.0,-36.0,30.0,0.0
2025-07-29 00:00:00+02:00,48,345.0,367.3333333333333,67.31675942356986,-41.0,-161.0,42.0,0.0
2025-07-30 00:00:00+02:00,49,320.0,319.3265306122449,7.995800343258449,-9.0,-18.0,10.0,0.0
2025-07-31 00:00:00+02:00,48,316.0,314.1458333333333,9.7325721673619,-18.0,-34.0,20.0,0.0
2025-08-01 00:00:00+02:00,48,206.5,241.33333333333334,79.59053010421216,-138.0,-199.0,38.0,0.0
2025-08-02 00:00:00+02:00,48,249.0,242.70833333333334,58.48948199074856,171.0,-64.0,72.0,0.0
2025-08-03 00:00:00+02:00,48,333.0,302.625,103.36253591019928,-84.0,-264.0,46.0,0.0
2025-08-04 00:00:00+02:00,48,263.0,252.22916666666666,87.21780990857451,-87.0,-238.0,53.0,0.0
2025-08-05 00:00:00+02:00,48,174.0,181.95833333333334,19.92855145565194,-4.0,-82.0,27.0,0.0
2025-08-06 00:00:00+02:00,25,201.0,210.0,31.617026483152454,,-63.0,42.0,0.0
