time,jump_mm,jump_ml,jump_g
2025-07-16 08:48:25,80.0,5654.8667764616275,5654.8667764616275
2025-07-17 09:19:41,78.0,5513.4951070500865,5513.4951070500865
2025-07-18 08:50:54,63.0,4453.207586463532,4453.207586463532
2025-07-18 09:20:55,65.0,4594.579255875073,4594.579255875073
2025-07-19 09:22:10,100.0,7068.583470577034,7068.583470577034
2025-07-20 09:53:26,84.0,5937.6101152847095,5937.6101152847095
2025-07-21 07:24:33,95.0,6715.154297048182,6715.154297048182
2025-07-21 11:54:47,95.0,6715.154297048182,6715.154297048182
2025-07-22 07:55:49,221.0,15621.569469975248,15621.569469975248
2025-07-24 07:28:17,115.0,8128.87099116359,8128.87099116359
2025-07-25 12:59:48,125.0,8835.729338221294,8835.729338221294
2025-07-26 09:30:52,99.0,6997.897635871264,6997.897635871264
2025-07-29 09:34:35,65.0,4594.579255875073,4594.579255875073
2025-07-29 10:04:36,161.0,11380.419387629026,11380.419387629026
2025-08-01 08:25:41,199.0,14066.481106448298,14066.481106448298
2025-08-02 06:56:51,64.0,4523.893421169302,4523.893421169302
2025-08-03 10:34:28,264.0,18661.06036232337,18661.06036232337
2025-08-04 11:05:44,238.0,16823.22865997334,16823.22865997334
2025-08-05 07:06:46,82.0,5796.238445873168,5796.238445873168
2025-08-06 07:38:02,63.0,4453.207586463532,4453.207586463532
