,corr
-120,0.7706326404029813
-119,0.7716117967518282
-118,0.7725833315883855
-117,0.7735475354703207
-116,0.7745046988620686
-115,0.7754551121352599
-114,0.7763990655691584
-113,0.7773368493510856
-112,0.778268753576849
-111,0.7791950682511691
-110,0.7801160832881036
-109,0.7810320885436713
-108,0.7819433756568941
-107,0.7828502361768279
-106,0.7837529615629903
-105,0.7846518431857752
-104,0.7855471723268665
-103,0.7864392401796536
-102,0.7873283378496447
-101,0.7882147564829939
-100,0.7890987871387533
-99,0.7899807207892818
-98,0.7908608418441431
-97,0.7917394411327927
-96,0.7926168093978885
-95,0.7934932395809716
-94,0.7943690245374171
-93,0.7952444570370685
-92,0.7961198340426677
-91,0.7969951649872944
-90,0.7978704614933305
-89,0.798745736573717
-88,0.799619860332292
-87,0.8004917066412285
-86,0.8013601496817211
-85,0.802224063941452
-84,0.8030823242120753
-83,0.8039338055867103
-82,0.8047773834574417
-81,0.8056119335128397
-80,0.8064363317354812
-79,0.8072494546887362
-78,0.808050178805965
-77,0.8088373808072165
-76,0.8096099376968073
-75,0.8103667267608998
-74,0.8111066255650914
-73,0.8118285119520299
-72,0.8125312640390198
-71,0.813213760036658
-70,0.8138748784255112
-69,0.8145134979537708
-68,0.8151285185013666
-67,0.8157188193062734
-66,0.8162832799000279
-65,0.8168207792969824
-64,0.817330196805061
-63,0.8178104120256581
-62,0.8182603097193957
-61,0.8186782812202767
-60,0.8190627165126282
-59,0.8194120075982492
-58,0.8197259044792066
-57,0.8200041591359153
-56,0.820246523610529
-55,0.8204527500068851
-54,0.8206225904904514
-53,0.8207557972882726
-52,0.8208521226889178
-51,0.8209113190424276
-50,0.820933138760261
-49,0.8209173340586442
-48,0.8208636571469494
-47,0.8207718602958944
-46,0.8206416958374918
-45,0.8204729161649909
-44,0.8202652737328293
-43,0.8200185210565833
-42,0.8197324107129083
-41,0.8194066954288142
-40,0.8190411279922694
-39,0.8186354612521431
-38,0.8181894890463656
-37,0.8177029638983019
-36,0.8171756384981246
-35,0.8166072657042948
-34,0.8159975985450468
-33,0.8153463902198754
-32,0.8146533919096016
-31,0.8139200137620859
-30,0.8131477062868521
-29,0.8123379200131304
-28,0.8114916986519107
-27,0.8106100847003468
-26,0.8096941204602098
-25,0.8087448175305068
-24,0.8077632175590447
-23,0.8067503618988333
-22,0.8057072916082747
-21,0.804635047451362
-20,0.803534669897867
-19,0.8024071990915292
-18,0.8012536748822633
-17,0.800075136826354
-16,0.7988726241866496
-15,0.7976471759327523
-14,0.7963998307412126
-13,0.7951316269957203
-12,0.7938436027872967
-11,0.7925367978652483
-10,0.7912122516860499
-9,0.789871003413536
-8,0.7885140919190909
-7,0.787142555781844
-6,0.7857574332888595
-5,0.7843597624353252
-4,0.7829505809247502
-3,0.7815309261691459
-2,0.7801018352892279
-1,0.7786637005332149
0,0.7772169258415433
1,0.775736121025856
2,0.774247051508155
3,0.7727500557248662
4,0.7712454721785786
5,0.7697336394380937
6,0.7682148961384551
7,0.7666895809810015
8,0.7651580327334033
9,0.7636205908316459
10,0.7620775947782484
11,0.7605293841423063
12,0.7589762985595331
13,0.7574186777323011
14,0.7558568614296841
15,0.7542911894874995
16,0.7527220018083514
17,0.7511496383616678
18,0.749574439183748
19,0.7479967439871227
20,0.7464168925511949
21,0.7448352247222911
22,0.743252080413694
23,0.7416677991962323
24,0.7400827207076999
25,0.7384971846528943
26,0.7369115308036605
27,0.7353260989989365
28,0.7337410369073871
29,0.7321567381791254
30,0.7305733307405503
31,0.7289909425440092
32,0.7274097201175385
33,0.7258298048707793
34,0.7242513382417324
35,0.7226744616966221
36,0.7210993167297524
37,0.719526044863365
38,0.7179547876475005
39,0.7163856953165691
40,0.7148189181342934
41,0.7132546063935536
42,0.7116929104162403
43,0.7101339805531115
44,0.7085779671836343
45,0.707025020715843
46,0.7054752915861864
47,0.703928930259387
48,0.7023860872282827
49,0.7008469083679345
50,0.6993115390864885
51,0.6977801248187298
52,0.6962528110259376
53,0.694729743195751
54,0.6932110668420206
55,0.6916969275046689
56,0.6901874707495514
57,0.688682842168311
58,0.6871830828368883
59,0.685688280930929
60,0.6841985031385448
61,0.6827138161639316
62,0.6812341623208207
63,0.6797594671968125
64,0.6782896563670249
65,0.6768246553940137
66,0.6753643898276884
67,0.6739087852052273
68,0.6724577670510009
69,0.6710112554625531
70,0.6695691705233304
71,0.668131432302591
72,0.6666979608553171
73,0.6652686762221154
74,0.6638434984291336
75,0.6624223474879636
76,0.661005143395553
77,0.6595918061341081
78,0.6581822556710067
79,0.6567764089180056
80,0.6553741821870087
81,0.6539754917740376
82,0.6525802539591344
83,0.6511883850062631
84,0.649799801163209
85,0.6484144186614806
86,0.64703215371621
87,0.6456529225260523
88,0.6442768322455129
89,0.6429038039520022
90,0.6415337504247725
91,0.6401665844160814
92,0.6388022952743431
93,0.6374409189849906
94,0.6360824915326104
95,0.6347270489008628
96,0.6333746270723946
97,0.6320252620287614
98,0.6306789897503432
99,0.629335842439925
100,0.6279958522981988
101,0.6266590515236925
102,0.6253254723127019
103,0.6239951468592179
104,0.6226681073548629
105,0.62134438598882
106,0.6200240149477627
107,0.6187070264157946
108,0.6173934525743761
109,0.6160833304853687
110,0.6147766978285517
111,0.613473592281896
112,0.6121740515214895
113,0.6108781130294945
114,0.6095858142859951
115,0.6082971927689218
116,0.6070122859539738
117,0.6057311313145468
118,0.6044546295266686
119,0.6031829003775311
120,0.6019160484203313
