feeder,mac,sampling_s_median,total_consumo_g,total_refill_g,n_refill_events,avg_refill_g
LS1,40:22:D8:F1:E3:70,1802.0,245350.53226372888,258356.7258495906,20,10518.052204218626
LS5,B8:D6:1A:60:94:1C,1802.0,228032.50276081514,238918.12130550377,20,8326.791328339747
