time,jump_mm,jump_ml,jump_g
2025-07-16 07:45:28,341.0,24103.869634667688,24103.869634667688
2025-07-18 08:48:00,95.0,6715.154297048182,6715.154297048182
2025-07-19 08:49:15,101.0,7139.269305282804,7139.269305282804
2025-07-20 08:50:29,150.0,10602.875205865552,10602.875205865552
2025-07-21 06:51:38,103.0,7280.640974694346,7280.640974694346
2025-07-22 07:22:54,318.0,22478.09543643497,22478.09543643497
2025-07-23 05:54:04,72.0,5089.380098815465,5089.380098815465
2025-07-24 06:55:22,54.0,3817.035074111599,3817.035074111599
2025-07-25 12:26:54,102.0,7209.955139988575,7209.955139988575
2025-07-26 08:57:58,125.0,8835.729338221294,8835.729338221294
2025-07-28 03:00:08,55.0,3887.720908817369,3887.720908817369
2025-07-29 09:31:43,144.0,10178.76019763093,10178.76019763093
2025-07-30 06:32:49,71.0,5018.694264109694,5018.694264109694
2025-08-01 07:25:38,188.0,13288.936924684825,13288.936924684825
2025-08-02 06:26:50,123.0,8694.357668809753,8694.357668809753
2025-08-02 22:57:41,64.0,4523.893421169302,4523.893421169302
2025-08-03 09:34:25,350.0,24740.04214701962,24740.04214701962
2025-08-04 09:05:38,255.0,18024.887849971437,18024.887849971437
2025-08-05 06:36:45,98.0,6927.211801165494,6927.211801165494
2025-08-06 07:08:02,167.0,11804.534395863648,11804.534395863648
