start,end,duration_min,grams,rate_g_per_min
2025-07-17 19:47:00+02:00,2025-07-17 19:56:00+02:00,10,353.4291735288517,35.34291735288517
2025-07-17 20:47:00+02:00,2025-07-17 20:56:00+02:00,10,1696.4600329384882,169.64600329384882
2025-07-17 21:17:00+02:00,2025-07-17 21:26:00+02:00,10,353.4291735288517,35.34291735288517
2025-07-17 21:47:00+02:00,2025-07-17 21:56:00+02:00,10,565.4866776461628,56.548667764616276
2025-07-17 22:17:00+02:00,2025-07-17 22:26:00+02:00,10,282.7433388230814,28.274333882308138
2025-07-17 22:47:00+02:00,2025-07-17 22:56:00+02:00,10,141.3716694115407,14.137166941154069
2025-07-17 23:17:00+02:00,2025-07-17 23:26:00+02:00,10,212.05750411731103,21.205750411731103
2025-07-18 01:17:00+02:00,2025-07-18 01:26:00+02:00,10,70.68583470577035,7.0685834705770345
2025-07-18 02:17:00+02:00,2025-07-18 02:26:00+02:00,10,141.3716694115407,14.137166941154069
2025-07-18 02:47:00+02:00,2025-07-18 02:56:00+02:00,10,141.3716694115407,14.137166941154069
2025-07-18 03:17:00+02:00,2025-07-18 03:26:00+02:00,10,70.68583470577035,7.0685834705770345
2025-07-18 04:17:00+02:00,2025-07-18 04:26:00+02:00,10,141.3716694115407,14.137166941154069
2025-07-18 04:47:00+02:00,2025-07-18 04:56:00+02:00,10,353.4291735288517,35.34291735288517
2025-07-18 05:17:00+02:00,2025-07-18 05:26:00+02:00,10,70.68583470577035,7.0685834705770345
2025-07-18 05:47:00+02:00,2025-07-18 05:56:00+02:00,10,282.7433388230814,28.274333882308138
2025-07-18 06:47:00+02:00,2025-07-18 06:56:00+02:00,10,70.68583470577035,7.0685834705770345
2025-07-18 07:47:00+02:00,2025-07-18 07:56:00+02:00,10,353.4291735288517,35.34291735288517
2025-07-18 08:17:00+02:00,2025-07-18 08:26:00+02:00,10,424.11500823462205,42.411500823462205
2025-07-18 08:47:00+02:00,2025-07-18 08:56:00+02:00,10,141.3716694115407,14.137166941154069
2025-07-18 09:17:00+02:00,2025-07-18 09:26:00+02:00,10,918.9158511750145,91.89158511750145
2025-07-18 11:48:00+02:00,2025-07-18 11:57:00+02:00,10,141.3716694115407,14.137166941154069
2025-07-18 12:18:00+02:00,2025-07-18 12:27:00+02:00,10,706.8583470577034,70.68583470577035
