t_ls1,jump_g_ls1,t_ls5,jump_g_ls5,delay_s,ratio_g
2025-07-18 08:48:00,6715.154297048182,2025-07-18 08:50:54,4453.207586463532,174.0,0.6631578947368422
2025-07-29 09:31:43,10178.76019763093,2025-07-29 09:34:35,4594.579255875073,172.0,0.4513888888888889
2025-08-06 07:08:02,11804.534395863648,2025-08-06 07:38:02,4453.207586463532,1800.0,0.3772455089820359
