time,LS1_refill_g,LS5_refill_g
2025-07-15 00:00:00+02:00,918.9158511750145,1060.2875205865553
2025-07-16 00:00:00+02:00,25305.528824665784,10108.07436292516
2025-07-17 00:00:00+02:00,1767.1458676442587,9330.530181161685
2025-07-18 00:00:00+02:00,8128.870991163589,11026.990214100175
2025-07-19 00:00:00+02:00,8270.24266057513,8340.9284952809
2025-07-20 00:00:00+02:00,12370.02107350981,8906.415172927063
2025-07-21 00:00:00+02:00,8977.101007632835,14631.96778409446
2025-07-22 00:00:00+02:00,23326.325452904217,16469.79948644449
2025-07-23 00:00:00+02:00,7916.813487046279,1696.4600329384882
2025-07-24 00:00:00+02:00,7704.755982928968,9542.587685278997
2025-07-25 00:00:00+02:00,8694.357668809753,9896.016858807849
2025-07-26 00:00:00+02:00,11733.848561157878,10461.50353645401
2025-07-27 00:00:00+02:00,2191.2608758788806,5937.610115284709
2025-07-28 00:00:00+02:00,7704.755982928968,6503.096792930872
2025-07-29 00:00:00+02:00,11380.419387629026,17883.5161805599
2025-07-30 00:00:00+02:00,9754.645189396308,4241.150082346221
2025-07-31 00:00:00+02:00,4665.265090580843,5866.924280578938
2025-08-01 00:00:00+02:00,17883.5161805599,20357.520395261858
2025-08-02 00:00:00+02:00,9542.587685278997,7704.755982928968
2025-08-03 00:00:00+02:00,29405.30723760046,22195.35209761189
2025-08-04 00:00:00+02:00,19438.604544086844,20640.26373408494
2025-08-05 00:00:00+02:00,8977.101007632835,9542.587685278995
2025-08-06 00:00:00+02:00,12299.33523880404,6573.782627636642
