time,LS1_consumo_g,LS5_consumo_g
2025-07-15 00:00:00+02:00,6644.468462342413,4877.322594698154
2025-07-16 00:00:00+02:00,15056.082792329084,7775.441817634738
2025-07-17 00:00:00+02:00,9754.645189396308,8411.61432998667
2025-07-18 00:00:00+02:00,9613.273519984767,9613.273519984767
2025-07-19 00:00:00+02:00,8411.61432998667,10673.561040571321
2025-07-20 00:00:00+02:00,12016.591899980958,7139.269305282804
2025-07-21 00:00:00+02:00,9047.786842338604,13995.795271742529
2025-07-22 00:00:00+02:00,17247.343668207963,10885.618544688634
2025-07-23 00:00:00+02:00,8835.729338221294,6573.782627636642
2025-07-24 00:00:00+02:00,6927.211801165494,9754.645189396308
2025-07-25 00:00:00+02:00,12935.507751155974,9754.645189396308
2025-07-26 00:00:00+02:00,7422.012644105886,10602.875205865552
2025-07-27 00:00:00+02:00,3039.490892348125,5725.552611167398
2025-07-28 00:00:00+02:00,10814.932709982862,9825.331024102077
2025-07-29 00:00:00+02:00,9471.901850573226,15126.768627034853
2025-07-30 00:00:00+02:00,7846.127652340509,3675.663404700058
2025-07-31 00:00:00+02:00,4453.207586463532,4665.265090580842
2025-08-01 00:00:00+02:00,10390.817701748241,10532.18937115978
2025-08-02 00:00:00+02:00,21488.493750554186,20145.46289114455
2025-08-03 00:00:00+02:00,25517.586328783094,16045.684478209869
2025-08-04 00:00:00+02:00,12016.591899980958,15056.082792329084
2025-08-05 00:00:00+02:00,8623.671834103981,9259.844346455915
2025-08-06 00:00:00+02:00,7775.441817634737,7916.813487046279
