time,n_points,vlx_mm_med,vlx_mm_mean,vlx_mm_std,net_diff_mm,max_drop_mm,max_rise_mm,net_delta_kg
2025-07-15 00:00:00+02:00,23,359.0,346.57142857142856,47.26898711477902,,-6.0,43.0,0.0
2025-07-16 00:00:00+02:00,48,407.0,375.5208333333333,62.001712256154974,4.0,-111.0,28.0,0.0
2025-07-17 00:00:00+02:00,48,364.5,372.3125,62.029902277818806,-41.0,-173.0,20.0,0.0
2025-07-18 00:00:00+02:00,48,304.0,353.875,61.59670652980683,-71.0,-112.0,16.0,0.0
2025-07-19 00:00:00+02:00,48,325.5,338.7916666666667,43.22871304128395,49.0,-130.0,26.0,0.0
2025-07-20 00:00:00+02:00,48,371.0,363.2916666666667,52.81680838735859,22.0,-156.0,24.0,0.0
2025-07-21 00:00:00+02:00,48,293.5,334.2291666666667,63.507158109977475,-85.0,-156.0,20.0,0.0
2025-07-22 00:00:00+02:00,48,105.5,201.91666666666666,122.940884139117,-189.0,-226.0,20.0,0.0
2025-07-23 00:00:00+02:00,48,130.0,122.5,14.105981830565902,25.0,-4.0,18.0,0.0
2025-07-24 00:00:00+02:00,48,133.0,125.83333333333333,12.171353415772272,2.0,-11.0,22.0,0.0
2025-07-25 00:00:00+02:00,48,107.5,98.64583333333333,34.99330609746963,-71.0,-30.0,6.0,0.0
2025-07-26 00:00:00+02:00,48,62.0,62.270833333333336,1.8650147832775965,-1.0,-5.0,4.0,0.0
2025-07-27 00:00:00+02:00,48,61.0,60.854166666666664,1.0103629710818445,0.0,-2.0,2.0,0.0
2025-07-28 00:00:00+02:00,48,256.0,190.875,128.51750853482963,317.0,-36.0,243.0,0.0
2025-07-29 00:00:00+02:00,48,327.5,340.0208333333333,86.27553327475862,-121.0,-137.0,24.0,0.0
2025-07-30 00:00:00+02:00,48,256.0,271.4791666666667,28.229296373782738,-13.0,-49.0,22.0,0.0
2025-07-31 00:00:00+02:00,48,253.0,257.8333333333333,14.452171055829309,15.0,-64.0,32.0,0.0
2025-08-01 00:00:00+02:00,48,306.5,312.4791666666667,36.21800985129706,43.0,-104.0,45.0,0.0
2025-08-02 00:00:00+02:00,48,346.0,361.1875,58.89610623621253,168.0,-59.0,35.0,0.0
2025-08-03 00:00:00+02:00,48,487.5,427.0416666666667,107.84838813211367,-126.0,-243.0,20.0,0.0
2025-08-04 00:00:00+02:00,48,310.0,354.6666666666667,59.220228478053905,-63.0,-125.0,28.0,0.0
2025-08-05 00:00:00+02:00,48,307.0,307.25,5.5217172783589445,9.0,-15.0,11.0,0.0
2025-08-06 00:00:00+02:00,25,322.0,330.39130434782606,31.183823210753452,,-72.0,31.0,0.0
