mac;time;vlx
40:22:D8:F1:E2:CC;2025/07/15 11:44:46;272.00
40:22:D8:F1:E2:CC;2025/07/15 12:14:48;283.00
40:22:D8:F1:E2:CC;2025/07/15 12:44:49;283.00
40:22:D8:F1:E2:CC;2025/07/15 13:14:51;281.00
40:22:D8:F1:E2:CC;2025/07/15 13:44:53;278.00
40:22:D8:F1:E2:CC;2025/07/15 14:14:54;279.00
40:22:D8:F1:E2:CC;2025/07/15 14:44:56;285.00
40:22:D8:F1:E2:CC;2025/07/15 15:14:57;281.00
40:22:D8:F1:E2:CC;2025/07/15 15:44:59;277.00
40:22:D8:F1:E2:CC;2025/07/15 16:15:00;276.00
40:22:D8:F1:E2:CC;2025/07/15 16:45:02;279.00
40:22:D8:F1:E2:CC;2025/07/15 17:15:03;277.00
40:22:D8:F1:E2:CC;2025/07/15 17:45:05;275.00
40:22:D8:F1:E2:CC;2025/07/15 18:15:06;287.00
40:22:D8:F1:E2:CC;2025/07/15 18:45:08;297.00
40:22:D8:F1:E2:CC;2025/07/15 19:15:10;309.00
40:22:D8:F1:E2:CC;2025/07/15 19:45:11;321.00
40:22:D8:F1:E2:CC;2025/07/15 20:15:13;325.00
40:22:D8:F1:E2:CC;2025/07/15 20:45:14;325.00
40:22:D8:F1:E2:CC;2025/07/15 21:15:16;332.00
40:22:D8:F1:E2:CC;2025/07/15 21:45:17;335.00
40:22:D8:F1:E2:CC;2025/07/15 22:15:19;340.00
40:22:D8:F1:E2:CC;2025/07/15 22:45:20;343.00
40:22:D8:F1:E2:CC;2025/07/15 23:15:22;339.00
40:22:D8:F1:E2:CC;2025/07/15 23:45:23;348.00
40:22:D8:F1:E2:CC;2025/07/16 00:15:25;353.00
40:22:D8:F1:E2:CC;2025/07/16 00:45:27;352.00
40:22:D8:F1:E2:CC;2025/07/16 01:15:28;353.00
40:22:D8:F1:E2:CC;2025/07/16 01:45:30;363.00
40:22:D8:F1:E2:CC;2025/07/16 02:15:31;355.00
40:22:D8:F1:E2:CC;2025/07/16 02:45:33;368.00
40:22:D8:F1:E2:CC;2025/07/16 03:15:34;371.00
40:22:D8:F1:E2:CC;2025/07/16 03:45:36;369.00
40:22:D8:F1:E2:CC;2025/07/16 04:15:37;373.00
40:22:D8:F1:E2:CC;2025/07/16 04:45:39;370.00
40:22:D8:F1:E2:CC;2025/07/16 05:15:40;370.00
40:22:D8:F1:E2:CC;2025/07/16 05:45:42;371.00
40:22:D8:F1:E2:CC;2025/07/16 06:15:44;372.00
40:22:D8:F1:E2:CC;2025/07/16 06:45:45;372.00
40:22:D8:F1:E2:CC;2025/07/16 07:15:47;378.00
40:22:D8:F1:E2:CC;2025/07/16 07:45:48;385.00
40:22:D8:F1:E2:CC;2025/07/16 08:15:50;391.00
40:22:D8:F1:E2:CC;2025/07/16 08:45:51;400.00
40:22:D8:F1:E2:CC;2025/07/16 09:15:53;403.00
40:22:D8:F1:E2:CC;2025/07/16 09:45:54;227.00
40:22:D8:F1:E2:CC;2025/07/16 10:15:56;229.00
40:22:D8:F1:E2:CC;2025/07/16 10:45:58;231.00
40:22:D8:F1:E2:CC;2025/07/16 11:15:59;244.00
40:22:D8:F1:E2:CC;2025/07/16 11:46:01;240.00
40:22:D8:F1:E2:CC;2025/07/16 12:16:02;246.00
40:22:D8:F1:E2:CC;2025/07/16 12:46:04;235.00
40:22:D8:F1:E2:CC;2025/07/16 13:16:05;236.00
40:22:D8:F1:E2:CC;2025/07/16 13:46:07;238.00
40:22:D8:F1:E2:CC;2025/07/16 14:16:08;238.00
40:22:D8:F1:E2:CC;2025/07/16 14:46:10;237.00
40:22:D8:F1:E2:CC;2025/07/16 15:16:11;234.00
40:22:D8:F1:E2:CC;2025/07/16 15:46:13;238.00
40:22:D8:F1:E2:CC;2025/07/16 16:16:15;237.00
40:22:D8:F1:E2:CC;2025/07/16 16:46:16;237.00
40:22:D8:F1:E2:CC;2025/07/16 17:16:18;241.00
40:22:D8:F1:E2:CC;2025/07/16 17:46:19;252.00
40:22:D8:F1:E2:CC;2025/07/16 18:16:21;254.00
40:22:D8:F1:E2:CC;2025/07/16 18:46:22;247.00
40:22:D8:F1:E2:CC;2025/07/16 19:16:24;243.00
40:22:D8:F1:E2:CC;2025/07/16 19:46:25;246.00
40:22:D8:F1:E2:CC;2025/07/16 20:16:27;261.00
40:22:D8:F1:E2:CC;2025/07/16 20:46:28;264.00
40:22:D8:F1:E2:CC;2025/07/16 21:16:30;276.00
40:22:D8:F1:E2:CC;2025/07/16 21:46:32;283.00
40:22:D8:F1:E2:CC;2025/07/16 22:16:33;288.00
40:22:D8:F1:E2:CC;2025/07/16 22:46:35;285.00
40:22:D8:F1:E2:CC;2025/07/16 23:16:36;286.00
40:22:D8:F1:E2:CC;2025/07/16 23:46:38;281.00
40:22:D8:F1:E2:CC;2025/07/17 00:16:39;289.00
40:22:D8:F1:E2:CC;2025/07/17 00:46:41;295.00
40:22:D8:F1:E2:CC;2025/07/17 01:16:42;291.00
40:22:D8:F1:E2:CC;2025/07/17 01:46:44;293.00
40:22:D8:F1:E2:CC;2025/07/17 02:16:45;292.00
40:22:D8:F1:E2:CC;2025/07/17 02:46:47;289.00
40:22:D8:F1:E2:CC;2025/07/17 03:16:49;292.00
40:22:D8:F1:E2:CC;2025/07/17 03:46:50;291.00
40:22:D8:F1:E2:CC;2025/07/17 04:16:52;296.00
40:22:D8:F1:E2:CC;2025/07/17 04:46:53;306.00
40:22:D8:F1:E2:CC;2025/07/17 05:16:55;303.00
40:22:D8:F1:E2:CC;2025/07/17 05:46:56;313.00
40:22:D8:F1:E2:CC;2025/07/17 06:16:58;308.00
40:22:D8:F1:E2:CC;2025/07/17 06:46:59;310.00
40:22:D8:F1:E2:CC;2025/07/17 07:17:01;309.00
40:22:D8:F1:E2:CC;2025/07/17 07:47:02;318.00
40:22:D8:F1:E2:CC;2025/07/17 08:17:04;326.00
40:22:D8:F1:E2:CC;2025/07/17 08:47:06;356.00
40:22:D8:F1:E2:CC;2025/07/17 09:17:07;378.00
40:22:D8:F1:E2:CC;2025/07/17 09:47:09;381.00
40:22:D8:F1:E2:CC;2025/07/17 10:17:10;377.00
40:22:D8:F1:E2:CC;2025/07/17 10:47:12;291.00
40:22:D8:F1:E2:CC;2025/07/17 11:17:13;276.00
40:22:D8:F1:E2:CC;2025/07/17 11:47:15;284.00
