mac;time;moisture;temperature
70:B8:F6:91:0A:FC;2025/08/03 03:33:56;30.20;32.60
70:B8:F6:91:0A:FC;2025/08/03 04:03:58;30.20;32.60
70:B8:F6:91:0A:FC;2025/08/03 04:33:59;30.20;32.70
70:B8:F6:91:0A:FC;2025/08/03 05:04:01;29.10;32.80
70:B8:F6:91:0A:FC;2025/08/03 05:34:03;30.60;33.10
70:B8:F6:91:0A:FC;2025/08/03 06:04:04;30.30;32.70
70:B8:F6:91:0A:FC;2025/08/03 06:34:06;30.40;32.80
70:B8:F6:91:0A:FC;2025/08/03 07:04:07;34.30;32.00
70:B8:F6:91:0A:FC;2025/08/03 07:34:09;34.10;32.40
70:B8:F6:91:0A:FC;2025/08/03 08:04:10;33.10;33.90
70:B8:F6:91:0A:FC;2025/08/03 08:34:12;34.00;34.30
70:B8:F6:91:0A:FC;2025/08/03 09:04:13;34.40;34.80
70:B8:F6:91:0A:FC;2025/08/03 09:34:15;33.70;35.00
70:B8:F6:91:0A:FC;2025/08/03 10:04:16;35.50;35.70
70:B8:F6:91:0A:FC;2025/08/03 10:34:18;34.50;36.30
70:B8:F6:91:0A:FC;2025/08/03 11:04:19;33.10;36.60
70:B8:F6:91:0A:FC;2025/08/03 11:34:21;34.00;37.00
70:B8:F6:91:0A:FC;2025/08/03 12:04:22;30.00;37.50
70:B8:F6:91:0A:FC;2025/08/03 12:34:24;25.60;37.50
70:B8:F6:91:0A:FC;2025/08/03 13:04:25;25.70;38.00
70:B8:F6:91:0A:FC;2025/08/03 13:34:27;20.20;38.00
70:B8:F6:91:0A:FC;2025/08/03 14:04:28;18.90;38.70
70:B8:F6:91:0A:FC;2025/08/03 14:34:30;18.30;39.30
70:B8:F6:91:0A:FC;2025/08/03 15:04:32;18.00;39.90
70:B8:F6:91:0A:FC;2025/08/03 15:34:33;17.50;40.00
70:B8:F6:91:0A:FC;2025/08/03 16:04:35;17.20;40.50
70:B8:F6:91:0A:FC;2025/08/03 16:34:36;21.40;40.30
70:B8:F6:91:0A:FC;2025/08/03 17:04:38;20.80;41.10
70:B8:F6:91:0A:FC;2025/08/03 17:34:39;18.10;41.30
70:B8:F6:91:0A:FC;2025/08/03 18:04:41;21.00;41.20
70:B8:F6:91:0A:FC;2025/08/03 18:34:42;18.00;41.10
70:B8:F6:91:0A:FC;2025/08/03 19:04:44;24.50;41.70
70:B8:F6:91:0A:FC;2025/08/03 19:34:45;22.20;41.70
70:B8:F6:91:0A:FC;2025/08/03 20:04:47;22.50;42.00
70:B8:F6:91:0A:FC;2025/08/03 20:34:48;24.70;41.60
70:B8:F6:91:0A:FC;2025/08/03 21:04:50;21.40;41.10
70:B8:F6:91:0A:FC;2025/08/03 21:34:51;21.90;40.60
70:B8:F6:91:0A:FC;2025/08/03 22:04:53;19.80;39.60
70:B8:F6:91:0A:FC;2025/08/03 22:34:54;21.20;39.50
70:B8:F6:91:0A:FC;2025/08/03 23:04:56;20.40;37.80
70:B8:F6:91:0A:FC;2025/08/03 23:34:57;18.50;33.90
70:B8:F6:91:0A:FC;2025/08/04 00:04:59;19.20;33.90
70:B8:F6:91:0A:FC;2025/08/04 00:35:01;19.80;35.10
70:B8:F6:91:0A:FC;2025/08/04 01:05:02;21.00;33.90
70:B8:F6:91:0A:FC;2025/08/04 01:35:04;21.30;33.00
70:B8:F6:91:0A:FC;2025/08/04 02:05:05;21.20;33.00
70:B8:F6:91:0A:FC;2025/08/04 02:35:07;22.40;31.50
70:B8:F6:91:0A:FC;2025/08/04 03:05:08;24.60;29.80
70:B8:F6:91:0A:FC;2025/08/04 03:35:10;24.10;29.60
70:B8:F6:91:0A:FC;2025/08/04 04:05:11;25.90;32.40
70:B8:F6:91:0A:FC;2025/08/04 04:35:13;24.90;33.80
70:B8:F6:91:0A:FC;2025/08/04 05:05:14;23.40;35.00
70:B8:F6:91:0A:FC;2025/08/04 05:35:16;24.60;34.60
70:B8:F6:91:0A:FC;2025/08/04 06:05:17;23.20;32.60
70:B8:F6:91:0A:FC;2025/08/04 06:35:19;25.20;31.90
70:B8:F6:91:0A:FC;2025/08/04 07:05:20;25.20;33.80
70:B8:F6:91:0A:FC;2025/08/04 07:35:22;29.00;34.50
70:B8:F6:91:0A:FC;2025/08/04 08:05:23;29.80;35.00
70:B8:F6:91:0A:FC;2025/08/04 08:35:25;28.40;33.40
70:B8:F6:91:0A:FC;2025/08/04 09:05:27;31.80;34.20
70:B8:F6:91:0A:FC;2025/08/04 09:35:28;29.40;35.50
70:B8:F6:91:0A:FC;2025/08/04 10:05:30;28.80;36.90
70:B8:F6:91:0A:FC;2025/08/04 10:35:31;26.30;37.50
70:B8:F6:91:0A:FC;2025/08/04 11:05:33;30.40;38.00
70:B8:F6:91:0A:FC;2025/08/04 11:35:34;21.90;38.20
70:B8:F6:91:0A:FC;2025/08/04 12:05:36;24.20;38.30
70:B8:F6:91:0A:FC;2025/08/04 12:35:37;20.20;38.90
70:B8:F6:91:0A:FC;2025/08/04 13:05:39;20.00;39.40
70:B8:F6:91:0A:FC;2025/08/04 13:35:40;18.30;40.00
70:B8:F6:91:0A:FC;2025/08/04 14:05:42;16.00;40.30
70:B8:F6:91:0A:FC;2025/08/04 14:35:43;15.00;41.00
70:B8:F6:91:0A:FC;2025/08/04 15:05:45;14.90;41.20
70:B8:F6:91:0A:FC;2025/08/04 15:35:46;14.80;41.10
70:B8:F6:91:0A:FC;2025/08/04 16:05:48;14.40;41.80
70:B8:F6:91:0A:FC;2025/08/04 16:35:49;14.50;42.60
