mac;time;moisture;temperature
70:B8:F6:91:0A:FC;2025/07/15 11:17:06;35.00;37.30
70:B8:F6:91:0A:FC;2025/07/15 11:47:07;35.00;37.20
70:B8:F6:91:0A:FC;2025/07/15 12:17:09;38.10;35.70
70:B8:F6:91:0A:FC;2025/07/15 12:47:10;33.10;36.40
70:B8:F6:91:0A:FC;2025/07/15 13:17:12;29.40;36.60
70:B8:F6:91:0A:FC;2025/07/15 13:47:13;27.70;37.50
70:B8:F6:91:0A:FC;2025/07/15 14:17:15;25.50;37.60
70:B8:F6:91:0A:FC;2025/07/15 14:47:16;23.20;38.30
70:B8:F6:91:0A:FC;2025/07/15 15:17:18;21.20;38.90
70:B8:F6:91:0A:FC;2025/07/15 15:47:19;18.10;39.30
70:B8:F6:91:0A:FC;2025/07/15 16:17:21;19.50;39.30
70:B8:F6:91:0A:FC;2025/07/15 16:47:22;21.40;40.10
70:B8:F6:91:0A:FC;2025/07/15 17:17:24;22.80;40.40
70:B8:F6:91:0A:FC;2025/07/15 17:47:25;20.30;40.10
70:B8:F6:91:0A:FC;2025/07/15 18:17:27;24.00;40.80
70:B8:F6:91:0A:FC;2025/07/15 18:47:28;24.80;41.00
70:B8:F6:91:0A:FC;2025/07/15 19:17:30;24.10;41.40
70:B8:F6:91:0A:FC;2025/07/15 19:47:31;24.80;41.40
70:B8:F6:91:0A:FC;2025/07/15 20:17:33;25.00;41.50
70:B8:F6:91:0A:FC;2025/07/15 20:47:35;24.80;41.50
70:B8:F6:91:0A:FC;2025/07/15 21:17:36;27.00;41.20
70:B8:F6:91:0A:FC;2025/07/15 21:47:38;27.20;40.80
70:B8:F6:91:0A:FC;2025/07/15 22:17:39;27.20;40.30
70:B8:F6:91:0A:FC;2025/07/15 22:47:41;25.60;39.20
70:B8:F6:91:0A:FC;2025/07/15 23:17:42;25.00;37.50
70:B8:F6:91:0A:FC;2025/07/15 23:47:44;26.90;34.10
70:B8:F6:91:0A:FC;2025/07/16 00:17:45;27.20;34.20
70:B8:F6:91:0A:FC;2025/07/16 00:47:47;27.60;34.10
70:B8:F6:91:0A:FC;2025/07/16 01:17:48;28.70;32.90
70:B8:F6:91:0A:FC;2025/07/16 01:47:50;30.40;32.30
70:B8:F6:91:0A:FC;2025/07/16 02:17:51;30.60;32.00
70:B8:F6:91:0A:FC;2025/07/16 02:47:53;32.60;31.60
70:B8:F6:91:0A:FC;2025/07/16 03:17:54;31.30;30.90
70:B8:F6:91:0A:FC;2025/07/16 03:47:56;30.70;31.00
70:B8:F6:91:0A:FC;2025/07/16 04:17:57;32.70;29.20
70:B8:F6:91:0A:FC;2025/07/16 04:47:59;36.20;30.70
70:B8:F6:91:0A:FC;2025/07/16 05:18:00;31.70;34.00
70:B8:F6:91:0A:FC;2025/07/16 05:48:02;30.90;34.70
70:B8:F6:91:0A:FC;2025/07/16 06:18:04;31.20;33.90
70:B8:F6:91:0A:FC;2025/07/16 06:48:05;30.40;33.90
70:B8:F6:91:0A:FC;2025/07/16 07:18:07;31.50;34.00
70:B8:F6:91:0A:FC;2025/07/16 07:48:08;33.40;32.40
70:B8:F6:91:0A:FC;2025/07/16 08:18:10;34.20;31.50
70:B8:F6:91:0A:FC;2025/07/16 08:48:11;31.80;32.00
70:B8:F6:91:0A:FC;2025/07/16 09:18:13;33.70;30.80
70:B8:F6:91:0A:FC;2025/07/16 09:48:14;31.20;33.20
70:B8:F6:91:0A:FC;2025/07/16 10:18:16;26.90;35.40
70:B8:F6:91:0A:FC;2025/07/16 10:48:17;22.60;36.20
70:B8:F6:91:0A:FC;2025/07/16 11:18:19;23.50;37.00
70:B8:F6:91:0A:FC;2025/07/16 11:48:20;25.20;37.80
70:B8:F6:91:0A:FC;2025/07/16 12:18:22;18.90;38.30
70:B8:F6:91:0A:FC;2025/07/16 12:48:23;17.90;38.90
70:B8:F6:91:0A:FC;2025/07/16 13:18:25;15.70;39.50
70:B8:F6:91:0A:FC;2025/07/16 13:48:26;15.20;40.20
70:B8:F6:91:0A:FC;2025/07/16 14:18:28;12.40;40.50
70:B8:F6:91:0A:FC;2025/07/16 14:48:30;9.40;41.10
70:B8:F6:91:0A:FC;2025/07/16 15:18:31;13.40;41.60
70:B8:F6:91:0A:FC;2025/07/16 15:48:33;12.40;42.00
70:B8:F6:91:0A:FC;2025/07/16 16:18:34;12.90;42.20
70:B8:F6:91:0A:FC;2025/07/16 16:48:36;12.60;42.40
70:B8:F6:91:0A:FC;2025/07/16 17:18:37;13.70;43.10
70:B8:F6:91:0A:FC;2025/07/16 17:48:39;13.60;43.90
70:B8:F6:91:0A:FC;2025/07/16 18:18:40;10.50;44.10
70:B8:F6:91:0A:FC;2025/07/16 18:48:42;14.70;43.90
70:B8:F6:91:0A:FC;2025/07/16 19:18:43;12.50;43.90
70:B8:F6:91:0A:FC;2025/07/16 19:48:45;12.80;44.00
70:B8:F6:91:0A:FC;2025/07/16 20:18:46;16.90;43.80
70:B8:F6:91:0A:FC;2025/07/16 20:48:48;12.90;43.00
70:B8:F6:91:0A:FC;2025/07/16 21:18:49;16.30;42.90
70:B8:F6:91:0A:FC;2025/07/16 21:48:51;22.20;42.80
70:B8:F6:91:0A:FC;2025/07/16 22:18:52;20.20;42.30
70:B8:F6:91:0A:FC;2025/07/16 22:48:54;21.30;42.20
70:B8:F6:91:0A:FC;2025/07/16 23:18:55;24.20;42.30
70:B8:F6:91:0A:FC;2025/07/16 23:48:57;23.20;41.80
70:B8:F6:91:0A:FC;2025/07/17 00:18:59;23.10;41.30
70:B8:F6:91:0A:FC;2025/07/17 00:49:00;21.40;40.40
70:B8:F6:91:0A:FC;2025/07/17 01:19:02;18.80;39.40
70:B8:F6:91:0A:FC;2025/07/17 01:49:03;17.80;38.90
70:B8:F6:91:0A:FC;2025/07/17 02:19:05;14.90;38.60
70:B8:F6:91:0A:FC;2025/07/17 02:49:06;16.40;38.00
70:B8:F6:91:0A:FC;2025/07/17 03:19:08;18.10;38.10
70:B8:F6:91:0A:FC;2025/07/17 03:49:09;16.60;37.30
70:B8:F6:91:0A:FC;2025/07/17 04:19:11;17.40;36.80
70:B8:F6:91:0A:FC;2025/07/17 04:49:12;18.50;36.50
70:B8:F6:91:0A:FC;2025/07/17 05:19:14;19.10;35.90
70:B8:F6:91:0A:FC;2025/07/17 05:49:15;21.00;36.00
