mac;time;vlx
40:22:D8:F1:E3:80;2025/08/03 03:34:01;510.00
40:22:D8:F1:E3:80;2025/08/03 04:04:03;508.00
40:22:D8:F1:E3:80;2025/08/03 04:34:04;511.00
40:22:D8:F1:E3:80;2025/08/03 05:04:06;516.00
40:22:D8:F1:E3:80;2025/08/03 05:34:07;506.00
40:22:D8:F1:E3:80;2025/08/03 06:04:09;508.00
40:22:D8:F1:E3:80;2025/08/03 06:34:11;511.00
40:22:D8:F1:E3:80;2025/08/03 07:04:12;518.00
40:22:D8:F1:E3:80;2025/08/03 07:34:14;520.00
40:22:D8:F1:E3:80;2025/08/03 08:04:15;540.00
40:22:D8:F1:E3:80;2025/08/03 08:34:17;552.00
40:22:D8:F1:E3:80;2025/08/03 09:04:18;565.00
40:22:D8:F1:E3:80;2025/08/03 09:34:20;568.00
40:22:D8:F1:E3:80;2025/08/03 10:04:21;583.00
40:22:D8:F1:E3:80;2025/08/03 10:34:23;581.00
40:22:D8:F1:E3:80;2025/08/03 11:04:25;604.00
40:22:D8:F1:E3:80;2025/08/03 11:34:26;543.00
40:22:D8:F1:E3:80;2025/08/03 12:04:28;565.00
40:22:D8:F1:E3:80;2025/08/03 12:34:29;300.00
40:22:D8:F1:E3:80;2025/08/03 13:04:31;298.00
40:22:D8:F1:E3:80;2025/08/03 13:34:32;298.00
40:22:D8:F1:E3:80;2025/08/03 14:04:34;298.00
40:22:D8:F1:E3:80;2025/08/03 14:34:35;297.00
40:22:D8:F1:E3:80;2025/08/03 15:04:37;299.00
40:22:D8:F1:E3:80;2025/08/03 15:34:39;294.00
40:22:D8:F1:E3:80;2025/08/03 16:04:40;300.00
40:22:D8:F1:E3:80;2025/08/03 16:34:42;304.00
40:22:D8:F1:E3:80;2025/08/03 17:04:43;301.00
40:22:D8:F1:E3:80;2025/08/03 17:34:45;303.00
40:22:D8:F1:E3:80;2025/08/03 18:04:46;302.00
40:22:D8:F1:E3:80;2025/08/03 18:34:48;303.00
40:22:D8:F1:E3:80;2025/08/03 19:04:49;303.00
40:22:D8:F1:E3:80;2025/08/03 19:34:51;320.00
40:22:D8:F1:E3:80;2025/08/03 20:04:53;333.00
40:22:D8:F1:E3:80;2025/08/03 20:34:54;341.00
40:22:D8:F1:E3:80;2025/08/03 21:04:56;359.00
40:22:D8:F1:E3:80;2025/08/03 21:34:57;363.00
40:22:D8:F1:E3:80;2025/08/03 22:04:59;364.00
40:22:D8:F1:E3:80;2025/08/03 22:35:00;358.00
40:22:D8:F1:E3:80;2025/08/03 23:05:02;359.00
40:22:D8:F1:E3:80;2025/08/03 23:35:03;362.00
40:22:D8:F1:E3:80;2025/08/04 00:05:05;361.00
40:22:D8:F1:E3:80;2025/08/04 00:35:07;371.00
40:22:D8:F1:E3:80;2025/08/04 01:05:08;380.00
40:22:D8:F1:E3:80;2025/08/04 01:35:10;385.00
40:22:D8:F1:E3:80;2025/08/04 02:05:11;384.00
