mac;time;vlx
40:22:D8:F1:E3:80;2025/07/15 12:07:07;286.00
40:22:D8:F1:E3:80;2025/07/15 12:37:08;298.00
40:22:D8:F1:E3:80;2025/07/15 13:07:10;296.00
40:22:D8:F1:E3:80;2025/07/15 13:37:11;297.00
40:22:D8:F1:E3:80;2025/07/15 14:07:13;303.00
40:22:D8:F1:E3:80;2025/07/15 14:37:14;296.00
40:22:D8:F1:E3:80;2025/07/15 15:07:16;296.00
40:22:D8:F1:E3:80;2025/07/15 15:37:17;294.00
40:22:D8:F1:E3:80;2025/07/15 16:07:19;292.00
40:22:D8:F1:E3:80;2025/07/15 16:37:20;286.00
40:22:D8:F1:E3:80;2025/07/15 17:07:22;292.00
40:22:D8:F1:E3:80;2025/07/15 17:37:24;309.00
40:22:D8:F1:E3:80;2025/07/15 18:07:25;352.00
40:22:D8:F1:E3:80;2025/07/15 18:37:27;359.00
40:22:D8:F1:E3:80;2025/07/15 19:07:28;364.00
40:22:D8:F1:E3:80;2025/07/15 19:37:30;365.00
40:22:D8:F1:E3:80;2025/07/15 20:07:31;380.00
40:22:D8:F1:E3:80;2025/07/15 20:37:33;384.00
40:22:D8:F1:E3:80;2025/07/15 21:07:34;397.00
40:22:D8:F1:E3:80;2025/07/15 21:37:36;398.00
40:22:D8:F1:E3:80;2025/07/15 22:07:38;407.00
40:22:D8:F1:E3:80;2025/07/15 22:37:39;399.00
40:22:D8:F1:E3:80;2025/07/15 23:07:41;409.00
40:22:D8:F1:E3:80;2025/07/15 23:37:42;401.00
40:22:D8:F1:E3:80;2025/07/16 00:07:44;407.00
40:22:D8:F1:E3:80;2025/07/16 00:37:45;409.00
40:22:D8:F1:E3:80;2025/07/16 01:07:47;410.00
40:22:D8:F1:E3:80;2025/07/16 01:37:48;414.00
40:22:D8:F1:E3:80;2025/07/16 02:07:50;418.00
40:22:D8:F1:E3:80;2025/07/16 02:37:52;420.00
40:22:D8:F1:E3:80;2025/07/16 03:07:53;414.00
40:22:D8:F1:E3:80;2025/07/16 03:37:55;417.00
40:22:D8:F1:E3:80;2025/07/16 04:07:56;420.00
40:22:D8:F1:E3:80;2025/07/16 04:37:58;427.00
40:22:D8:F1:E3:80;2025/07/16 05:07:59;431.00
40:22:D8:F1:E3:80;2025/07/16 05:38:01;432.00
40:22:D8:F1:E3:80;2025/07/16 06:08:02;430.00
40:22:D8:F1:E3:80;2025/07/16 06:38:04;438.00
40:22:D8:F1:E3:80;2025/07/16 07:08:06;444.00
40:22:D8:F1:E3:80;2025/07/16 07:38:07;449.00
40:22:D8:F1:E3:80;2025/07/16 08:08:09;462.00
40:22:D8:F1:E3:80;2025/07/16 08:38:10;461.00
40:22:D8:F1:E3:80;2025/07/16 09:08:12;460.00
40:22:D8:F1:E3:80;2025/07/16 09:38:13;465.00
40:22:D8:F1:E3:80;2025/07/16 10:08:15;401.00
40:22:D8:F1:E3:80;2025/07/16 10:38:16;278.00
40:22:D8:F1:E3:80;2025/07/16 11:08:18;290.00
40:22:D8:F1:E3:80;2025/07/16 11:38:20;286.00
40:22:D8:F1:E3:80;2025/07/16 12:08:21;290.00
40:22:D8:F1:E3:80;2025/07/16 12:38:23;290.00
40:22:D8:F1:E3:80;2025/07/16 13:08:24;300.00
40:22:D8:F1:E3:80;2025/07/16 13:38:26;300.00
40:22:D8:F1:E3:80;2025/07/16 14:08:27;299.00
40:22:D8:F1:E3:80;2025/07/16 14:38:29;299.00
40:22:D8:F1:E3:80;2025/07/16 15:08:30;296.00
40:22:D8:F1:E3:80;2025/07/16 15:38:32;296.00
40:22:D8:F1:E3:80;2025/07/16 16:08:34;298.00
40:22:D8:F1:E3:80;2025/07/16 16:38:35;305.00
40:22:D8:F1:E3:80;2025/07/16 17:08:37;303.00
40:22:D8:F1:E3:80;2025/07/16 17:38:38;301.00
40:22:D8:F1:E3:80;2025/07/16 18:08:40;299.00
40:22:D8:F1:E3:80;2025/07/16 18:38:41;329.00
40:22:D8:F1:E3:80;2025/07/16 19:08:43;350.00
40:22:D8:F1:E3:80;2025/07/16 19:38:44;354.00
40:22:D8:F1:E3:80;2025/07/16 20:08:46;375.00
40:22:D8:F1:E3:80;2025/07/16 20:38:48;390.00
40:22:D8:F1:E3:80;2025/07/16 21:08:49;405.00
40:22:D8:F1:E3:80;2025/07/16 21:38:51;407.00
40:22:D8:F1:E3:80;2025/07/16 22:08:52;413.00
40:22:D8:F1:E3:80;2025/07/16 22:38:54;413.00
40:22:D8:F1:E3:80;2025/07/16 23:08:55;411.00
40:22:D8:F1:E3:80;2025/07/16 23:38:57;408.00
