mac;time;moisture;temperature
B8:D6:1A:60:94:84;2000/01/01 00:00:12;46.90;29.20
B8:D6:1A:60:94:84;2000/01/01 00:30:13;52.00;29.10
B8:D6:1A:60:94:84;2000/01/01 01:00:15;31.40;36.20
B8:D6:1A:60:94:84;2000/01/01 01:30:17;33.60;33.20
B8:D6:1A:60:94:84;2000/01/01 02:00:18;33.90;33.90
B8:D6:1A:60:94:84;2000/01/01 02:30:20;31.30;34.90
B8:D6:1A:60:94:84;2000/01/01 03:00:21;29.70;35.40
B8:D6:1A:60:94:84;2000/01/01 03:30:23;27.70;35.90
B8:D6:1A:60:94:84;2000/01/01 04:00:24;25.70;36.00
B8:D6:1A:60:94:84;2000/01/01 04:30:26;26.30;36.40
B8:D6:1A:60:94:84;2000/01/01 05:00:27;25.90;36.90
B8:D6:1A:60:94:84;2000/01/01 05:30:29;27.00;36.80
B8:D6:1A:60:94:84;2000/01/01 06:00:31;26.00;36.30
B8:D6:1A:60:94:84;2000/01/01 06:30:32;26.10;36.80
B8:D6:1A:60:94:84;2000/01/01 07:00:34;25.00;36.80
B8:D6:1A:60:94:84;2000/01/01 07:30:35;24.50;36.90
B8:D6:1A:60:94:84;2000/01/01 08:00:37;24.40;36.60
B8:D6:1A:60:94:84;2000/01/01 08:30:38;25.00;36.10
B8:D6:1A:60:94:84;2000/01/01 09:00:40;24.90;35.40
B8:D6:1A:60:94:84;2000/01/01 09:30:41;25.90;34.50
B8:D6:1A:60:94:84;2000/01/01 10:00:43;28.50;33.00
B8:D6:1A:60:94:84;2000/01/01 10:30:45;29.10;32.00
B8:D6:1A:60:94:84;2000/01/01 11:00:46;32.10;30.40
B8:D6:1A:60:94:84;2000/01/01 11:30:48;33.30;30.10
B8:D6:1A:60:94:84;2000/01/01 12:00:49;34.80;29.80
B8:D6:1A:60:94:84;2000/01/01 12:30:51;34.90;30.10
B8:D6:1A:60:94:84;2000/01/01 13:00:52;35.20;30.00
B8:D6:1A:60:94:84;2000/01/01 13:30:54;34.80;30.80
B8:D6:1A:60:94:84;2000/01/01 14:00:55;34.90;30.80
B8:D6:1A:60:94:84;2000/01/01 14:30:57;35.10;31.00
B8:D6:1A:60:94:84;2000/01/01 15:00:58;35.60;31.00
