ls,date,temp_mean,moist_mean
LS1,2025-07-15,37.94,21.88
LS1,2025-07-16,38.262499999999996,20.90625
LS1,2025-07-17,38.92916666666667,19.058333333333334
LS1,2025-07-18,36.141666666666666,23.770833333333332
LS1,2025-07-19,33.643750000000004,28.633333333333336
LS1,2025-07-20,33.885416666666664,30.87708333333333
LS1,2025-07-21,34.82083333333333,25.304166666666664
LS1,2025-07-22,36.00833333333333,22.43541666666667
LS1,2025-07-23,35.68333333333333,26.695833333333336
LS1,2025-07-24,33.297916666666666,25.96666666666667
LS1,2025-07-25,34.333333333333336,25.087500000000002
LS1,2025-07-26,35.639583333333334,25.104166666666668
LS1,2025-07-27,36.731249999999996,22.71666666666667
LS1,2025-07-28,34.737500000000004,25.610416666666666
LS1,2025-07-29,34.458333333333336,26.629166666666666
LS1,2025-07-30,35.52291666666667,26.054166666666664
LS1,2025-07-31,36.64791666666667,25.020833333333332
LS1,2025-08-01,36.65625,23.085416666666664
LS1,2025-08-02,37.03541666666667,24.660416666666666
LS1,2025-08-03,37.581250000000004,22.260416666666668
LS1,2025-08-04,38.452083333333334,19.92291666666667
LS1,2025-08-05,39.016666666666666,20.641666666666666
LS1,2025-08-06,35.32692307692308,31.476923076923075
LS5,2025-07-15,39.05384615384615,26.02692307692308
LS5,2025-07-16,37.63333333333333,22.958333333333332
LS5,2025-07-17,39.625,17.702083333333334
LS5,2025-07-18,36.512499999999996,22.59583333333333
LS5,2025-07-19,33.987500000000004,27.604166666666668
LS5,2025-07-20,33.49791666666667,30.479166666666668
LS5,2025-07-21,34.670833333333334,25.295833333333334
LS5,2025-07-22,35.92916666666667,21.381249999999998
LS5,2025-07-23,36.297916666666666,28.193749999999998
LS5,2025-07-24,33.39791666666667,29.25
LS5,2025-07-25,33.75833333333333,28.65625
LS5,2025-07-26,34.91914893617022,28.821276595744678
LS5,2025-07-27,35.46458333333333,25.24791666666667
LS5,2025-07-28,35.329166666666666,29.7625
LS5,2025-07-29,34.6,29.90625
LS5,2025-07-30,34.59795918367347,28.246938775510202
LS5,2025-07-31,35.90208333333333,27.943749999999998
LS5,2025-08-01,36.06666666666667,25.631249999999998
LS5,2025-08-02,36.50833333333333,27.91875
LS5,2025-08-03,36.860416666666666,26.114583333333332
LS5,2025-08-04,37.739583333333336,21.145833333333332
LS5,2025-08-05,39.824999999999996,21.858333333333334
LS5,2025-08-06,35.76,31.14
