date,temp_diff_LS1_minus_LS5,moist_diff_LS1_minus_LS5
2025-07-15,-1.1138461538461542,-4.1469230769230805
2025-07-16,0.6291666666666629,-2.052083333333332
2025-07-17,-0.6958333333333329,1.3562499999999993
2025-07-18,-0.37083333333333,1.1750000000000007
2025-07-19,-0.34375,1.0291666666666686
2025-07-20,0.38749999999999574,0.3979166666666636
2025-07-21,0.14999999999999858,0.008333333333329307
2025-07-22,0.07916666666666572,1.0541666666666707
2025-07-23,-0.6145833333333357,-1.4979166666666615
2025-07-24,-0.10000000000000142,-3.2833333333333314
2025-07-25,0.5750000000000028,-3.568749999999998
2025-07-26,0.7204343971631175,-3.71710992907801
2025-07-27,1.2666666666666657,-2.53125
2025-07-28,-0.5916666666666615,-4.152083333333334
2025-07-29,-0.14166666666666572,-3.2770833333333336
2025-07-30,0.9249574829932001,-2.1927721088435383
2025-07-31,0.7458333333333371,-2.9229166666666657
2025-08-01,0.58958333333333,-2.5458333333333343
2025-08-02,0.5270833333333371,-3.258333333333333
2025-08-03,0.7208333333333385,-3.8541666666666643
2025-08-04,0.7124999999999986,-1.2229166666666629
2025-08-05,-0.80833333333333,-1.2166666666666686
2025-08-06,-0.4330769230769178,0.33692307692307466
