time,n_points,vlx_mm_med,vlx_mm_mean,vlx_mm_std,net_diff_mm,max_drop_mm,max_rise_mm,net_delta_kg
2025-07-15 00:00:00+02:00,24,292.0,304.0,27.438242342707383,,-4.0,12.0,0.0
2025-07-16 00:00:00+02:00,48,279.5,298.3333333333333,62.473256689710354,-66.0,-171.0,15.0,0.0
2025-07-17 00:00:00+02:00,48,294.5,305.0,28.461246515068318,54.0,-86.0,30.0,0.0
2025-07-18 00:00:00+02:00,48,1.0,163.33333333333334,186.6917283074955,-338.0,-418.0,17.0,0.0
2025-07-19 00:00:00+02:00,48,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-07-20 00:00:00+02:00,48,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-07-21 00:00:00+02:00,48,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-07-22 00:00:00+02:00,48,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-07-23 00:00:00+02:00,48,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-07-24 00:00:00+02:00,48,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-07-25 00:00:00+02:00,48,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-07-26 00:00:00+02:00,48,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-07-27 00:00:00+02:00,47,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-07-28 00:00:00+02:00,48,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-07-29 00:00:00+02:00,48,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-07-30 00:00:00+02:00,49,1.0,80.6734693877551,121.21526783562615,257.0,-5.0,259.0,0.0
2025-07-31 00:00:00+02:00,48,267.5,267.6666666666667,5.219983424337132,11.0,-15.0,9.0,0.0
2025-08-01 00:00:00+02:00,48,248.0,250.9375,9.463044020169146,1.0,-16.0,11.0,0.0
2025-08-02 00:00:00+02:00,48,299.0,292.375,46.50766351857989,114.0,-90.0,28.0,0.0
2025-08-03 00:00:00+02:00,7,384.0,383.57142857142856,2.070196678027049,5.0,-2.0,3.0,0.0
2025-08-04 00:00:00+02:00,0,,,,,,,0.0
2025-08-05 00:00:00+02:00,0,,,,,,,0.0
2025-08-06 00:00:00+02:00,7,248.0,247.6,1.5165750888103091,,-3.0,0.0,0.0
