mac;time;vlx
40:22:D8:F1:E3:70;2025/07/30 17:23:34;310.00
40:22:D8:F1:E3:70;2025/07/30 17:53:35;314.00
40:22:D8:F1:E3:70;2025/07/30 18:23:37;310.00
40:22:D8:F1:E3:70;2025/07/30 18:53:38;308.00
40:22:D8:F1:E3:70;2025/07/30 19:23:40;314.00
40:22:D8:F1:E3:70;2025/07/30 19:53:42;302.00
40:22:D8:F1:E3:70;2025/07/30 20:23:43;307.00
40:22:D8:F1:E3:70;2025/07/30 20:53:45;315.00
40:22:D8:F1:E3:70;2025/07/30 21:23:46;309.00
40:22:D8:F1:E3:70;2025/07/30 21:53:48;311.00
40:22:D8:F1:E3:70;2025/07/30 22:23:49;304.00
40:22:D8:F1:E3:70;2025/07/30 22:53:51;301.00
40:22:D8:F1:E3:70;2025/07/30 23:23:52;297.00
40:22:D8:F1:E3:70;2025/07/30 23:53:54;302.00
40:22:D8:F1:E3:70;2025/07/31 00:23:56;301.00
40:22:D8:F1:E3:70;2025/07/31 00:53:57;302.00
40:22:D8:F1:E3:70;2025/07/31 01:23:59;301.00
40:22:D8:F1:E3:70;2025/07/31 01:54:00;303.00
40:22:D8:F1:E3:70;2025/07/31 02:24:02;304.00
40:22:D8:F1:E3:70;2025/07/31 02:54:03;300.00
40:22:D8:F1:E3:70;2025/07/31 03:24:05;298.00
40:22:D8:F1:E3:70;2025/07/31 03:54:06;312.00
40:22:D8:F1:E3:70;2025/07/31 04:24:08;313.00
40:22:D8:F1:E3:70;2025/07/31 04:54:10;315.00
40:22:D8:F1:E3:70;2025/07/31 05:24:11;313.00
40:22:D8:F1:E3:70;2025/07/31 05:54:13;309.00
40:22:D8:F1:E3:70;2025/07/31 06:24:14;311.00
40:22:D8:F1:E3:70;2025/07/31 06:54:16;316.00
40:22:D8:F1:E3:70;2025/07/31 07:24:17;308.00
40:22:D8:F1:E3:70;2025/07/31 07:54:19;304.00
40:22:D8:F1:E3:70;2025/07/31 08:24:20;314.00
40:22:D8:F1:E3:70;2025/07/31 08:54:22;307.00
40:22:D8:F1:E3:70;2025/07/31 09:24:24;312.00
40:22:D8:F1:E3:70;2025/07/31 09:54:25;313.00
40:22:D8:F1:E3:70;2025/07/31 10:24:27;316.00
40:22:D8:F1:E3:70;2025/07/31 10:54:28;305.00
40:22:D8:F1:E3:70;2025/07/31 11:24:30;316.00
40:22:D8:F1:E3:70;2025/07/31 11:54:31;303.00
40:22:D8:F1:E3:70;2025/07/31 12:24:33;298.00
40:22:D8:F1:E3:70;2025/07/31 12:54:34;314.00
40:22:D8:F1:E3:70;2025/07/31 13:24:36;316.00
40:22:D8:F1:E3:70;2025/07/31 13:54:38;323.00
40:22:D8:F1:E3:70;2025/07/31 14:24:39;321.00
40:22:D8:F1:E3:70;2025/07/31 14:54:41;318.00
40:22:D8:F1:E3:70;2025/07/31 15:24:42;313.00
40:22:D8:F1:E3:70;2025/07/31 15:54:44;297.00
40:22:D8:F1:E3:70;2025/07/31 16:24:45;297.00
40:22:D8:F1:E3:70;2025/07/31 16:54:47;296.00
40:22:D8:F1:E3:70;2025/07/31 17:24:48;310.00
40:22:D8:F1:E3:70;2025/07/31 17:54:50;300.00
40:22:D8:F1:E3:70;2025/07/31 18:24:52;305.00
40:22:D8:F1:E3:70;2025/07/31 18:54:53;304.00
40:22:D8:F1:E3:70;2025/07/31 19:24:55;303.00
40:22:D8:F1:E3:70;2025/07/31 19:54:56;316.00
40:22:D8:F1:E3:70;2025/07/31 20:24:58;341.00
40:22:D8:F1:E3:70;2025/07/31 20:54:59;295.00
40:22:D8:F1:E3:70;2025/07/31 21:25:01;302.00
40:22:D8:F1:E3:70;2025/07/31 21:55:02;304.00
40:22:D8:F1:E3:70;2025/07/31 22:25:04;300.00
40:22:D8:F1:E3:70;2025/07/31 22:55:05;302.00
40:22:D8:F1:E3:70;2025/07/31 23:25:07;298.00
40:22:D8:F1:E3:70;2025/07/31 23:55:09;300.00
40:22:D8:F1:E3:70;2025/08/01 00:25:10;291.00
40:22:D8:F1:E3:70;2025/08/01 00:55:12;285.00
40:22:D8:F1:E3:70;2025/08/01 01:25:13;284.00
40:22:D8:F1:E3:70;2025/08/01 01:55:15;283.00
40:22:D8:F1:E3:70;2025/08/01 02:25:16;278.00
40:22:D8:F1:E3:70;2025/08/01 02:55:18;282.00
40:22:D8:F1:E3:70;2025/08/01 03:25:19;290.00
40:22:D8:F1:E3:70;2025/08/01 03:55:21;288.00
40:22:D8:F1:E3:70;2025/08/01 04:25:23;279.00
40:22:D8:F1:E3:70;2025/08/01 04:55:24;292.00
40:22:D8:F1:E3:70;2025/08/01 05:25:26;287.00
40:22:D8:F1:E3:70;2025/08/01 05:55:27;290.00
40:22:D8:F1:E3:70;2025/08/01 06:25:29;290.00
40:22:D8:F1:E3:70;2025/08/01 06:55:30;290.00
40:22:D8:F1:E3:70;2025/08/01 07:25:32;277.00
40:22:D8:F1:E3:70;2025/08/01 07:55:33;294.00
40:22:D8:F1:E3:70;2025/08/01 08:25:35;306.00
40:22:D8:F1:E3:70;2025/08/01 08:55:37;328.00
40:22:D8:F1:E3:70;2025/08/01 09:25:38;118.00
40:22:D8:F1:E3:70;2025/08/01 09:55:40;112.00
40:22:D8:F1:E3:70;2025/08/01 10:25:41;113.00
40:22:D8:F1:E3:70;2025/08/01 10:55:43;129.00
40:22:D8:F1:E3:70;2025/08/01 11:25:44;133.00
40:22:D8:F1:E3:70;2025/08/01 11:55:46;137.00
40:22:D8:F1:E3:70;2025/08/01 12:25:47;131.00
40:22:D8:F1:E3:70;2025/08/01 12:55:49;130.00
40:22:D8:F1:E3:70;2025/08/01 13:25:51;130.00
40:22:D8:F1:E3:70;2025/08/01 13:55:52;134.00
40:22:D8:F1:E3:70;2025/08/01 14:25:54;130.00
40:22:D8:F1:E3:70;2025/08/01 14:55:55;128.00
40:22:D8:F1:E3:70;2025/08/01 15:25:57;142.00
40:22:D8:F1:E3:70;2025/08/01 15:55:58;142.00
40:22:D8:F1:E3:70;2025/08/01 16:26:00;145.00
40:22:D8:F1:E3:70;2025/08/01 16:56:01;174.00
40:22:D8:F1:E3:70;2025/08/01 17:26:03;193.00
