mac;time;moisture;temperature
70:B8:F6:91:0A:FC;2025-07-15 11:17:06;35.0;37.3
70:B8:F6:91:0A:FC;2025-07-15 11:47:07;35.0;37.2
70:B8:F6:91:0A:FC;2025-07-15 12:17:09;38.1;35.7
70:B8:F6:91:0A:FC;2025-07-15 12:47:10;33.1;36.4
70:B8:F6:91:0A:FC;2025-07-15 13:17:12;29.4;36.6
70:B8:F6:91:0A:FC;2025-07-15 13:47:13;27.7;37.5
70:B8:F6:91:0A:FC;2025-07-15 14:17:15;25.5;37.6
70:B8:F6:91:0A:FC;2025-07-15 14:47:16;23.2;38.3
70:B8:F6:91:0A:FC;2025-07-15 15:17:18;21.2;38.9
70:B8:F6:91:0A:FC;2025-07-15 15:47:19;18.1;39.3
70:B8:F6:91:0A:FC;2025-07-15 16:17:21;19.5;39.3
70:B8:F6:91:0A:FC;2025-07-15 16:47:22;21.4;40.1
70:B8:F6:91:0A:FC;2025-07-15 17:17:24;22.8;40.4
70:B8:F6:91:0A:FC;2025-07-15 17:47:25;20.3;40.1
70:B8:F6:91:0A:FC;2025-07-15 18:17:27;24.0;40.8
70:B8:F6:91:0A:FC;2025-07-15 18:47:28;24.8;41.0
70:B8:F6:91:0A:FC;2025-07-15 19:17:30;24.1;41.4
70:B8:F6:91:0A:FC;2025-07-15 19:47:31;24.8;41.4
70:B8:F6:91:0A:FC;2025-07-15 20:17:33;25.0;41.5
70:B8:F6:91:0A:FC;2025-07-15 20:47:35;24.8;41.5
70:B8:F6:91:0A:FC;2025-07-15 21:17:36;27.0;41.2
70:B8:F6:91:0A:FC;2025-07-15 21:47:38;27.2;40.8
70:B8:F6:91:0A:FC;2025-07-15 22:17:39;27.2;40.3
70:B8:F6:91:0A:FC;2025-07-15 22:47:41;25.6;39.2
70:B8:F6:91:0A:FC;2025-07-15 23:17:42;25.0;37.5
70:B8:F6:91:0A:FC;2025-07-15 23:47:44;26.9;34.1
70:B8:F6:91:0A:FC;2025-07-16 00:17:45;27.2;34.2
70:B8:F6:91:0A:FC;2025-07-16 00:47:47;27.6;34.1
70:B8:F6:91:0A:FC;2025-07-16 01:17:48;28.7;32.9
70:B8:F6:91:0A:FC;2025-07-16 01:47:50;30.4;32.3
70:B8:F6:91:0A:FC;2025-07-16 02:17:51;30.6;32.0
70:B8:F6:91:0A:FC;2025-07-16 02:47:53;32.6;31.6
70:B8:F6:91:0A:FC;2025-07-16 03:17:54;31.3;30.9
70:B8:F6:91:0A:FC;2025-07-16 03:47:56;30.7;31.0
70:B8:F6:91:0A:FC;2025-07-16 04:17:57;32.7;29.2
70:B8:F6:91:0A:FC;2025-07-16 04:47:59;36.2;30.7
70:B8:F6:91:0A:FC;2025-07-16 05:18:00;31.7;34.0
70:B8:F6:91:0A:FC;2025-07-16 05:48:02;30.9;34.7
70:B8:F6:91:0A:FC;2025-07-16 06:18:04;31.2;33.9
70:B8:F6:91:0A:FC;2025-07-16 06:48:05;30.4;33.9
70:B8:F6:91:0A:FC;2025-07-16 07:18:07;31.5;34.0
70:B8:F6:91:0A:FC;2025-07-16 07:48:08;33.4;32.4
70:B8:F6:91:0A:FC;2025-07-16 08:18:10;34.2;31.5
70:B8:F6:91:0A:FC;2025-07-16 08:48:11;31.8;32.0
70:B8:F6:91:0A:FC;2025-07-16 09:18:13;33.7;30.8
70:B8:F6:91:0A:FC;2025-07-16 09:48:14;31.2;33.2
70:B8:F6:91:0A:FC;2025-07-16 10:18:16;26.9;35.4
70:B8:F6:91:0A:FC;2025-07-16 10:48:17;22.6;36.2
70:B8:F6:91:0A:FC;2025-07-16 11:18:19;23.5;37.0
