mac;time;moisture;temperature
70:B8:F6:8F:F7:A0;2025-07-15 11:41:57;45.4;28.0
70:B8:F6:8F:F7:A0;2025-07-15 12:11:59;46.5;27.9
70:B8:F6:8F:F7:A0;2025-07-15 12:42:01;31.1;34.7
70:B8:F6:8F:F7:A0;2025-07-15 13:12:02;26.3;35.8
70:B8:F6:8F:F7:A0;2025-07-15 13:42:04;26.3;36.1
70:B8:F6:8F:F7:A0;2025-07-15 14:12:05;22.5;36.5
70:B8:F6:8F:F7:A0;2025-07-15 14:42:07;22.9;37.1
70:B8:F6:8F:F7:A0;2025-07-15 15:12:08;19.0;37.5
70:B8:F6:8F:F7:A0;2025-07-15 15:42:10;17.0;37.8
70:B8:F6:8F:F7:A0;2025-07-15 16:12:11;17.7;38.4
70:B8:F6:8F:F7:A0;2025-07-15 16:42:13;16.2;38.7
70:B8:F6:8F:F7:A0;2025-07-15 17:12:15;16.3;39.3
70:B8:F6:8F:F7:A0;2025-07-15 17:42:16;16.0;39.6
70:B8:F6:8F:F7:A0;2025-07-15 18:12:18;18.8;40.1
70:B8:F6:8F:F7:A0;2025-07-15 18:42:19;16.5;40.4
70:B8:F6:8F:F7:A0;2025-07-15 19:12:21;14.8;40.7
70:B8:F6:8F:F7:A0;2025-07-15 19:42:22;14.7;40.7
70:B8:F6:8F:F7:A0;2025-07-15 20:12:24;15.2;40.8
70:B8:F6:8F:F7:A0;2025-07-15 20:42:25;14.1;40.8
70:B8:F6:8F:F7:A0;2025-07-15 21:12:27;15.4;40.6
70:B8:F6:8F:F7:A0;2025-07-15 21:42:28;19.5;40.4
70:B8:F6:8F:F7:A0;2025-07-15 22:12:30;23.7;40.8
70:B8:F6:8F:F7:A0;2025-07-15 22:42:32;23.8;40.1
70:B8:F6:8F:F7:A0;2025-07-15 23:12:33;23.4;38.3
70:B8:F6:8F:F7:A0;2025-07-15 23:42:35;23.9;37.4
70:B8:F6:8F:F7:A0;2025-07-16 00:12:36;23.9;36.7
